ENTRY,Name,MeSH,OMIM,ICD-10,ICD-11,MedlinePlus,Alias_Name,Pathway,Gene_symbol,kegg_geneID,Drug_name,kegg_drugID
H01356,Myoclonic Epilepsy and Ragged-Red Fiber Disease,D017243,545000,G71.3,8C73.Y,NA,MERRF syndrome;Fukuhara syndrome,NA,TRNK;TRNL1;TRNH;TRNS1;TRNS2;TRNI;TRNF;TRNP;MTND5,4566;4567;4564;4574;4575;4565;4558;4571;4540,NA,NA
H01357,Allergic contact dermatitis,D017449,NA,L23,EK00,NA,NA,NA,TNFA;IL-16,712;3603,Triamcinolone acetonide;Dexamethasone;Dexamethasone sodium phosphate;Hydrocortisone;Hydrocortisone sodium succinate;Prednisolone;Prednisolone sodium phosphate;Prednisone;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Cortisone acetate;Hydroxyzine hydrochloride;Hydroxyzine pamoate,D00983;D00292;D00975;D00088;D00978;D00472;D00981;D00473;D00407;D00751;D00979;D00973;D00672;D01096
H01358,Atopic dermatitis,D003876,605803,L20,EA80,NA,NA,NA,FLG;IL4;IL4RA;SPINK5;IL13;RANTES;NOD1;CARD15;TLR-2;TLR-9;COL29A1,2312;3656;3566;11005;3596;6352;10392;64127;7097;54106;256076,Triamcinolone acetonide;Dexamethasone;Dexamethasone sodium phosphate;Hydrocortisone;Hydrocortisone sodium succinate;Hydrocortisone butyrate;Prednisolone;Prednisolone sodium phosphate;Prednisone;Doxepin hydrochloride;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Desonide;Tacrolimus;Pimecrolimus;Dupilumab;Crisaborole;Cortisone acetate;Hydroxyzine hydrochloride;Hydroxyzine pamoate,D00983;D00292;D00975;D00088;D00978;D01619;D00472;D00981;D00473;D00814;D00407;D00751;D00979;D03696;D00107;D05480;D10354;D10873;D00973;D00672;D01096
H01359,Anaphylaxis,D000707,NA,NA,4A84,NA,NA,NA,c-KIT;NLRP3;IL-10,3815;114548;3586,Epinephrine,D00095
H01360,Allergic rhinitis,C567078,607154,J30,CA08.0,NA,NA,NA,GATA3;IL-13;IL-18;IL-28RA;EPO;CCXCR1;CCR1;CCR2;CCR3;CCR5;SDAD1;CXCL9;CXCL10;CXCL11;RANTES;Eotaxin-3;CD14;FOXJ1;FCGR2A,2625;3596;3606;163702;2056;2829;1230;729230;1232;1234;55153;4283;3627;6373;6352;10344;929;2302;2212,Triamcinolone acetonide;Dexamethasone;Dexamethasone sodium phosphate;Hydrocortisone;Hydrocortisone sodium succinate;Prednisolone;Prednisolone sodium phosphate;Prednisone;Budesonide;Beclomethasone dipropionate;Beclomethasone dipropionate monohydrate;Promethazine hydrochloride;Clemastine fumarate;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Mometasone furoate;Fluticasone furoate;Cortisone acetate;Azithromycin;Azelastine hydrochloride;Olopatadine hydrochloride;Ciclesonide;Fexofenadine hydrochloride and pseudoephedrine hydrochloride;Desloratadine and pseudoephedrine sulfate;Montelukast sodium;Carbinoxamine maleate;Dexchlorpheniramine maleate;Levocetirizine dihydrochloride;Cyproheptadine hydrochloride;Fexofenadine hydrochloride;Desloratadine;Azelastine hydrochloride and fluticasone propionate,D00983;D00292;D00975;D00088;D00978;D00472;D00981;D00473;D00246;D00689;D11572;D00480;D00666;D00407;D00751;D00979;D00690;D06315;D00973;D06390;D00659;D01192;D01703;D10252;D10850;D00529;D01336;D00668;D08118;D02234;D00671;D03693;D11656
H01361,Eosinophilic esophagitis,D057765,NA,NA,DA24.1,NA,NA,NA,TSLP;CCL-26,85480;10344,NA,NA
H01362,Dermatitis herpetiformis,NA,NA,L13.0,EB44,NA,NA,NA,HLA-DQA1;HLA-DQB1;HLA-DR3;HLA-B8,3117;3119;NA;NA,Triamcinolone acetonide;Dexamethasone;Hydrocortisone sodium succinate;Prednisolone;Prednisolone sodium phosphate;Prednisone;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Dapsone;Cortisone acetate,D00983;D00292;D00978;D00472;D00981;D00473;D00407;D00751;D00979;D00592;D00973
H01363,NARP syndrome,C537396,551500,G31.8,8C73.1,NA,Neuropathy ataxia and retinis pigmentosa,NA,MT-ATP6,4508,NA,NA
H01364,3-Hydroxyacyl-CoA dehydrogenase deficiency,C535310,231530,E71.3,5C52.01,NA,HADH deficiency;SCHAD deficiency,NA,HADH,3033,NA,NA
H01365,Leber hereditary optic neuropathy and dystonia,D029242,500001,H47.2,8C73.Y;9C40.B0,NA,NA,NA,MT-ND6;MT-ND4;MT-ND1;MT-ND3,4541;4538;4535;4537,NA,NA
H01367,Infantile liver failure,D017093,615438;616483;618641;613070,K72.0,5C53.23;9A60.Y,NA,NA,NA,LARS;NBAS;RINT1;TRMU,51520;51594;60561;55687,NA,NA
H01368,Cytochrome c oxidase (COX) deficiency,D030401,220110;220111;604377;615119,G71.3,5C53.2Y,NA,Mitochondrial complex IV deficiency (MT-C4D),NA,COX6B1;COX14;COX10;COX15;COX20;COA5;SCO1;SCO2;FASTKD2;MT-CO1;MT-CO2;MT-CO3;APOPT1;PET100;LRPPRC,1340;84987;1352;1355;116228;493753;6341;9997;22868;4512;4513;4514;84334;100131801;10128,NA,NA
H01369,ATP synthase deficiency,C567528,604273;614052;514053;615228;618120;618683;551500;500003;516060;516070,G71.3,5C53.25,NA,NA,NA,ATPAF2;TMEM70;ATP5E;ATP5A1;ATP5F1D;ATP5MD;MT-ATP6;MT-ATP8,91647;54968;514;498;513;84833;4508;4509,NA,NA
H01370,SHORT syndrome,C537327,269880,Q87.1,LD2F.1Y,NA,NA,NA,PIK3R1,5295,NA,NA
H01371,Hypercalcemia infantile,C562581,143880,E83.5,5C64.5,NA,Idiopathic infantile hypercalcemia,NA,CYP24A1,1591,NA,NA
H01372,Vitiligo,D014820,606579,L80,ED63.0,NA,NA,NA,NLRP1,22861,NA,NA
H01375,Glucose 6-phosphate dehydrogenase deficiency,D005955,300908,D55.0,3A10.00,NA,NA,NA,G6PD,2539,NA,NA
H01376,Acrofacial dysostosis,C537680;C538182;C538183;C538184;C538185,154400;263750;193530;616462,Q75.4,LD25.2,NA,NA,NA,DHODH;SF3B4;EVC2;POLR1A,1723;10262;132884;25885,NA,NA
H01377,Mitchell-Riley syndrome,C567570,615710,NA,KB60.2Y,NA,NA,NA,RFX6,222546,NA,NA
H01378,Bosch-Boonstra optic atrophy syndrome,NA,615722,H47.2,9C40.B0,NA,NA,NA,NR2F1,7025,NA,NA
H01381,Antithrombin III deficiency,D020152,613118,D68.5,3B61.0Y,NA,Inherited Antithrombin deficiency,NA,SERPINC1,462,Antithrombin alfa,D08858
H01382,Polyarteritis nodosa,D010488,615688,M30.0,4A44.4,NA,ADA2 deficiency,NA,CECR1,51816,NA,NA
H01383,Hyperlipoproteinemia type IIa,D006938,143890,E78.0,5C80.00,NA,LDL receptor disorder,NA,LDLR,3949,NA,NA
H01384,Mitochondrial recessive ataxia syndrome,C579922;C537583,607459,G71.3,5C53.21,NA,NA,NA,POLG,5428,NA,NA
H01385,Rienhoff syndrome,NA,615582,Q87.4,LD28.0Y,NA,NA,NA,TGFB3,7043,NA,NA
H01386,Asparagine synthetase deficiency,D000592,615574,E72.0,5C50.Y,NA,NA,NA,ASNS,440,NA,NA
H01387,Activated PI3K-delta syndrome,NA,615513,NA,NA,NA,NA,NA,PIK3CD,5293,NA,NA
H01388,Hyperprolactinemia,D006966,615555,E22.1,5A60.1,NA,NA,NA,PRLR,5618,Bromocriptine mesylate;Cabergoline,D00780;D00987
H01389,Alpers syndrome,D002549,203700,G31.8,5C53.20,NA,Alpers-Huttenlocher syndrome;Diffuse cerebral sclerosis of Schilder;Hepatocerebral degeneration of childhood;Mitochondrial DNA depletion syndrome 4A,NA,POLG,5428,NA,NA
H01390,Mitochondrial neurogastrointestinal encephalomyopathy,C537477,613662;603041;612075,G71.3,5C53.20,NA,MNGIE Syndrome,NA,TYMP;RRM2B;POLG,1890;50484;5428,NA,NA
H01391,Familial episodic pain syndrome,C538101,615040;615551;615552,M79.6,8E43.Y,NA,NA,NA,TRPA1;SCN10A;SCN11A,8989;6336;11280,NA,NA
H01392,"Arthrogryposis, mental retardation, and seizures",NA,615553,Q74.3,LD26.41,NA,NA,NA,SLC35A3,23443,NA,NA
H01393,Van Maldergem syndrome,C536530,601390;615546,NA,NA,NA,Cerebro-facio-articular syndrome,NA,DCHS1;FAT4,8642;79633,NA,NA
H01394,Cole disease,NA,615522,NA,NA,NA,NA,NA,ENPP1,5167,NA,NA
H01395,Autosomal recessive progressive external ophthalmoplegia,C564926,258450;616479;617069;617070,H49.4,9C82.0,NA,NA,NA,POLG;RNASEH1;TK2;DGUOK,5428;246243;7084;1716,NA,NA
H01396,Moyamoya disease,D009072,252350;607151;614042;615750,I67.5,8B22.B,NA,NA,NA,RNF213;ACTA2;GUCY1A3,57674;59;2982,NA,NA
H01398,Primary hyperammonemic disorders (Urea cycle disorders),D022124;D056806,237310;237300;311250;215700;207900;207800;238970;603471;605814,E72.2,5C50.A,NA,NA,NA,NAGS;CPS1;OTC;ASS1;ASL;ARG1;SLC25A15;SLC25A13,162417;1373;5009;445;435;383;10166;10165,Sodium phenylbutyrate;Glycerol phenylbutyrate;Sodium phenylacetate and sodium benzoate,D05868;D10127;D10205
H01400,Secondary hyperammonemia,D022124,251000;606054;243500;201450;231680;608836;212138;222700;219150;266150;258870;615751;606762;614052;610015,E72.2,5C50.A,NA,NA,NA,MUT;PCCA;PCCB;IVD;ACADM;ETFDH;ETFA;ETFB;CPT2;SLC25A20;SLC7A7;ALDH18A1;PC;OAT;CA5A;GLUD1;TMEM70;GLUL,4594;5095;5096;3712;34;2110;2108;2109;1376;788;9056;5832;5091;4942;763;2746;54968;2752,NA,NA
H01402,Nicolaides-Baraitser syndrome,C536116,601358,NA,NA,NA,NA,NA,SMARCA2,6595,NA,NA
H01403,Coffin-Siris syndrome,C536436,135900;614607;614608;614609;616938;617808;618027;618362;615866;618506;618779,Q87.1,LD27.0Y,NA,NA,NA,ARID1B;ARID1A;SMARCB1;SMARCA4;SMARCE1;ARID2;DPF2;SMARCC2;SOX11;SOX4;SMARCD1,57492;8289;6598;6597;6605;196528;5977;6601;6664;6659;6602,NA,NA
H01404,Punctate palmoplantar keratoderma,C536161;C535653,148600;614936;175860;101850,Q82.8,NA,NA,NA,NA,AAGAB;;COL14A1,79719;NA;7373,NA,NA
H01412,Perlman syndrome,C536399,267000,Q87.3,LD2C,NA,NA,NA,DIS3L2,129563,NA,NA
H01413,Adams-Oliver syndrome,C538225,100300;614219;614814;615297;616028;616589,Q87.2,LD2F.1Y,NA,NA,NA,ARHGAP31;DOCK6;RBPJ;EOGT;NOTCH1;DLL4,57514;57572;3516;285203;4851;54567,NA,NA
H01425,Lysosomal storage disease,D016464,NA,E70;E72;E74;E75;E76;E77;E83;Q82,5C56,NA,NA,NA,NA,NA,NA,NA
H01427,Mitochondrial disease,D028361,NA,E88,5C53,NA,NA,NA,NA,NA,NA,NA
H01428,Xeroderma pigmentosum,D014983,278700;610651;278720;278730;278740;278760;278780;278750,Q82.1,LD27.1,NA,NA,NA,XPA;ERCC3;XPC;ERCC2;DDB2;DDB1;ERCC4;ERCC5;POLH,7507;2071;7508;2068;1643;1642;2072;2073;5429,NA,NA
H01429,Aseptic meningitis,D008582,NA,G03,1D01.Y,NA,NA,NA,NA,NA,NA,NA
H01431,Cushing syndrome,D003480,600634;610755;160980;102200;300943;617686;219090;219080;615954;610489;610475;603390,E24,5A70,NA,NA,hsa04934  Cushing syndrome,MEN1;CDKN1B;PRKAR1A;AIP;GPR101;GNAS;USP8;PIK3CA;DICER1;RASD1;ARMC5;FH;PDE11A;APC;MC2R;PRKACA;PRKAR1A;PDE11A;PDE8B,4221;1027;5573;9049;83550;2778;9101;5290;23405;51655;79798;2271;50940;324;4158;5566;5573;50940;8622,Pasireotide diaspartate;Pasireotide pamoate;Osilodrostat phosphate,D10497;D10566;D11062
H01432,Choreoacanthocytosis,D054546,200150,G25,3A10.Y;8A03.1Y,NA,Chorea-acanthocytosis,NA,VPS13A,23230,NA,NA
H01433,Budd-Chiari syndrome,D006502,600880,I82.0,DB98.5,NA,NA,NA,F5;JAK2,2153;3717,NA,NA
H01434,Atypical hemolytic uremic syndrome,D065766,235400;612922;612923;612924;612925;612926,D58.8,3A10.Y,NA,NA,NA,"CFH;CFHR3;CFHR1;CD46, MCP;CFI, IF;CFB;C3;THBD",3075;10878;3078;4179;3426;629;718;7056,Eculizumab,D03940
H01435,Congenital asplenia,C563028;D059446,271400;208530,Q89.0,LB22.0,NA,NA,NA,RPSA;GDF1,3921;2657,NA,NA
H01436,Guillain-Barre syndrome,D020275,139393,G61.0,8C01.0,NA,NA,NA,PMP22,5376,NA,NA
H01437,Neurofibromatosis type 1,D009456,162200;162210,Q85.0,LD2D.10,NA,Von Recklinghausen disease,NA,NF1,4763,Selumetinib sulfate,D10024
H01438,Neurofibromatosis type 2,D016518,101000,Q85.0,LD2D.11,NA,NA,NA,NF2,4771,NA,NA
H01439,Williams-Beuren syndrome,D018980,194050,Q93.8,LD44.70,NA,NA,NA,ELN;;LIMK1;;CLIP2;;RFC2;;BCL7B;;GTF2I;;GTF2IRD;;EIF4H;;TBL2;;MLXIPL;;FKBP6;;BAZ1B;;CLDN3;;CLDN4;;DNAJC30;;LAT2;;FZD9;;STX1A;;SPDYE1;;NSUN5;;ABHD11;;TRIM50;;VPS37D;;WBSCR22;;WBSCR16;;WBSCR17;;WBSCR27;;WBSCR28,2006;NA;3984;NA;7461;NA;5982;NA;9275;NA;2969;NA;9569;NA;7458;NA;26608;NA;51085;NA;8468;NA;9031;NA;1365;NA;1364;NA;84277;NA;7462;NA;8326;NA;6804;NA;285955;NA;55695;NA;83451;NA;135892;NA;155382;NA;114049;NA;64409;NA;81554;NA;155368;NA;135886,NA,NA
H01447,Body dysmorphic disorder,D057215,NA,F45.2,6B21,NA,NA,NA,NA,NA,NA,NA
H01448,Hoarding disorder,D060845,NA,F42.8,6B24,NA,NA,NA,NA,NA,NA,NA
H01449,Excoriation disorder,NA,NA,F48.9,6B25.1,NA,Skin picking disorder,NA,NA,NA,NA,NA
H01450,Obsessive-compulsive disorder,D009771,164230,F42,6B20,NA,NA,NA,BDNF;HTR2A;SLC6A4;COMT;MAOA;SLC1A1;DRD4,627;3356;6532;1312;4128;6505;1815,Clomipramine hydrochloride;Fluoxetine hydrochloride;Paroxetine hydrochloride;Paroxetine mesylate;Sertraline hydrochloride;Fluvoxamine maleate,D00811;D00823;D05374;D05375;D00825;D00824
H01452,Pediatric autoimmune neuropsychiatric disorders associated with streptococcal infection,C537163,NA,B95.0,8E4A.0,NA,NA,NA,NA,NA,NA,NA
H01453,Obsessive-Compulsive and Related Disorder,NA,NA,F42,6B2Z,NA,NA,NA,NA,NA,NA,NA
H01456,Diabetic nephropathy,D003928,603933;612624;612634,E14.2,GB61.Z,NA,NA,NA,Vascular endothelial growth factor A;Angiotensin-converting enzyme;Superoxide dismutase 2,7422;1636;6648,Captopril;Losartan potassium;Irbesartan,D00251;D00357;D00523
H01457,Diabetic retinopathy,D003930,603933;612623;612624;612633,E14.3,9B71.0,NA,NA,NA,Vascular endothelial growth factor A;Erythropoietin;Angiotensin-converting enzyme;Paraoxonase,7422;2056;1636;5444,Aflibercept;Ranibizumab,D09574;D05697
H01459,Diabetic neuropathy,D003929,603933,E14.4,8C03.0,NA,NA,NA,Vascular endothelial growth factor A,7422,Becaplermin;Tapentadol hydrochloride;Pregabalin;Duloxetine hydrochloride,D03065;D10199;D02716;D01179
H01460,West syndrome,D013036,308350,G40.4,8A62.0,NA,Infantile spasms,NA,ARX,170302,Vigabatrin,D00535
H01461,Crow-Fukase syndrome,D016878,NA,D47.7,2A83.Y,NA,POEMS syndrome,NA,NA,NA,NA,NA
H01463,Mycosis fungoides,D009182,NA,C84,2B01,NA,NA,NA,"p16/INK4a, ARF;p15/INK4b;PTEN;p53;JUNB;Fas;Nav3;c-MYC",1029;1030;5728;7157;3726;355;89795;4609,Triamcinolone acetonide;Dexamethasone;Dexamethasone sodium phosphate;Hydrocortisone;Hydrocortisone sodium succinate;Prednisolone;Prednisolone sodium phosphate;Prednisone;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Cortisone acetate;Cyclophosphamide;Mechlorethamine hydrochloride;Methotrexate sodium;Vinblastine sulfate;Brentuximab vedotin;Mogamulizumab;Bexarotene;Vorinostat;Romidepsin;Denileukin diftitox,D00983;D00292;D00975;D00088;D00978;D00472;D00981;D00473;D00407;D00751;D00979;D00973;D00287;D04872;D02115;D01068;D09587;D09761;D03106;D06320;D06637;D03682
H01464,Mantle cell lymphoma,D020522,NA,C83,2A85.5,NA,NA,NA,Cyclin D1;p16/INK4a;p53,595;1029;7157,Ibrutinib;Acalabrutinib;Zanubrutinib;Bortezomib;Lenalidomide;Brexucabtagene autoleucel,D10223;D10893;D11422;D03150;D04687;D11880
H01465,Large-vessel vasculitis,D013700;D013625,NA,M31.4;M31.6,4A44.Y,NA,NA,NA,NA,NA,NA,NA
H01466,Ulcerative colitis,D003093,612261;612241;612381,K51,DD71,NA,NA,hsa05321  Inflammatory bowel disease,IL23R;IL10;MST1,149233;3586;4485,Triamcinolone acetonide;Dexamethasone;Dexamethasone sodium phosphate;Hydrocortisone;Hydrocortisone acetate;Hydrocortisone sodium succinate;Prednisolone;Prednisolone sodium phosphate;Prednisone;Budesonide;Sulfasalazine;Mesalamine;Olsalazine sodium;Balsalazide disodium;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Cortisone acetate;Vedolizumab;Infliximab;Adalimumab;Golimumab,D00983;D00292;D00975;D00088;D00165;D00978;D00472;D00981;D00473;D00246;D00448;D00377;D00727;D02715;D00407;D00751;D00979;D00973;D08083;D02598;D02597;D04358
H01467,Primary biliary cirrhosis,D008105,NA,K74.3,DB96.1,NA,NA,NA,NA,NA,Ursodiol;Obeticholic acid,D00734;D09360
H01468,Eosinophilic granulomatosis with polyangiitis,D015267,NA,M30.1,4A44.A2,NA,Churg-Strauss syndrome,NA,HLA-DRB1;HLA-DRB4;IL10,3123;3126;3586,NA,NA
H01469,Short bowel syndrome,D012778,NA,K91.8,KB89.1,NA,NA,NA,NA,NA,Teduglutide,D06053
H01470,Giant cell tumor of bone,D018212,NA,D48.0,2B51,NA,NA,NA,RANKL;H3F3A;TP53;HRAS,8600;3020;7157;3265,Denosumab,D03684
H01471,Lymphangioma,D008202,NA,D18.1,2E81.1,NA,NA,NA,VEGFR-3,2324,NA,NA
H01473,Erythema nodosum leprosum,D004893,NA,A30.8;L52,1B20.21,NA,NA,NA,NA,NA,Thalidomide,D00754
H01474,Acquired generalized lipodystrophy,D008060,NA,E88.1,5A44,NA,Lawrence syndrome,NA,NA,NA,NA,NA
H01475,Lipodystrophy,D008060,NA,E88.1,EF01,NA,Lipoatrophy,NA,NA,NA,Metreleptin,D05014
H01476,Behcet disease,D001528,109650,M35.2,4A62,NA,Behcet syndrome,NA,HLA-B;IL10;IL23R;IL12RB2,3106;3586;149233;3595,Apremilast,D08860
H01477,Congenital short bowel syndrome,D007418,615237,Q43.8,KB89.1,NA,NA,NA,CLMP,79827,NA,NA
H01478,Machado-Joseph disease,D017827,109150,G11.8,8A03.16,NA,Spinocerebellar ataxia 3,hsa05017  Spinocerebellar ataxia,ATXN3,4287,NA,NA
H01479,Castleman disease,D005871,148000,D36.0,4B2Y,NA,NA,NA,IL6,3569,Siltuximab,D09669
H01480,Idiopathic macular hole,D012167,NA,H35.3,9B75.1,NA,Retinal perforations,NA,NA,NA,NA,NA
H01481,Myelodysplastic syndrome,D009190,614286,D46,2A36;2A37;2A3Z,NA,NA,NA,TET2;ASXL1;DNMT3A;IDH1;IDH2;GATA2;SF3B1;SRSF2;U2AF1;ZRSR2;RUNX1;TP53;NRAS;JAK2,54790;171023;1788;3417;3418;2624;23451;6427;7307;8233;861;7157;4893;3717,Azacitidine;Decitabine;Decitabine and cedazuridine,D03021;D03665;D11848
H01482,Infantile hemangioma,D006391,602089,D18.00,2E81.2Y,NA,NA,NA,TEM8;VEGFR2,84168;3791,Propranolol hydrochloride,D00483
H01483,Acromegaly,D000172,300943;102200,E22.0,5A60.0,NA,NA,NA,AIP;GNAS;GPR101,9049;2778;83550,Bromocriptine mesylate;Pegvisomant;Octreotide acetate;Lanreotide acetate;Pasireotide pamoate,D00780;D05394;D06495;D04666;D10566
H01484,5q- syndrome,C535323,153550,D46.7,2A36,NA,NA,NA,RPS14,6208,Lenalidomide,D04687
H01485,Autosomal recessive mental retardation-42,NA,615802,NA,NA,NA,NA,NA,PGAP1,80055,NA,NA
H01486,Multiple congenital anomalies-hypotonia-seizures syndrome,NA,614080;300868;615398;618548,Q87.8,5C54,NA,NA,NA,PIGN;PIGA;PIGT;PIGQ,23556;5277;51604;9091,NA,NA
H01487,CHIME syndrome,NA,280000,Q87.8,5C54,NA,"Coloboma, congenital heart disease, ichthyosiform dermatosis, mental retardation, and ear anomalies syndrome;Zunich neuroectodermal syndrome",NA,PIGL,9487,NA,NA
H01488,Hyperphosphatasia with mental retardation syndrome,NA,239300;614749;614207;615716;616025;616809,NA,NA,NA,Mabry syndrome,NA,PIGV;PIGO;PGAP2;PGAP3;PIGW;PIGY,55650;84720;27315;93210;284098;84992,NA,NA
H01489,Inherited glycosylphosphatidylinositol deficiencies,NA,610293;239300;614080;300868;280000;614749;615398;614207;615802;615716;616025;616809;616917;617599;617810;617816;618010;618143;618548;618580;618590;618879,NA,5C54.Y,NA,Glycosylphosphatidylinositol biosynthesis deficiency,NA,PIGM;PIGV;PIGN;PIGA;PIGL;PIGO;PIGT;PGAP2;PGAP1;PGAP3;PIGW;PIGY;PIGG;PIGP;GPAA1;PIGC;PIGH;PIGS;PIGQ;PIGB;PIGU;PIGK,93183;55650;23556;5277;9487;84720;51604;27315;80055;93210;284098;84992;54872;51227;8733;5279;5283;94005;9091;9488;128869;10026,NA,NA
H01490,Multiple sclerosis,D009103,126200;614810,G35,8A40,NA,NA,NA,PDCD1;HLA-DRB1;HLA-DQB1;TNFRSF1A,5133;3123;3119;7132,Triamcinolone acetonide;Dexamethasone;Hydrocortisone;Hydrocortisone sodium succinate;Prednisolone sodium phosphate;Prednisone;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Corticotropin;Cladribine;Mitoxantrone hydrochloride;Ofatumumab;Interferon beta-1a;Interferon beta-1b;Peginterferon beta-1a;Glatiramer acetate;Natalizumab;Fingolimod hydrochloride;Teriflunomide;Alemtuzumab;Ocrelizumab;Ozanimod hydrochloride;Siponimod fumarate;Daclizumab;Dimethyl fumarate;Baclofen;Dantrolene sodium;Dalfampridine;Diroximel fumarate;Ponesimod;Monomethyl fumarate,D00983;D00292;D00088;D00978;D00981;D00473;D00407;D00751;D00979;D00146;D01370;D02166;D09314;D04554;D00746;D10483;D04318;D06886;D04187;D10172;D02802;D05218;D10967;D11072;D03639;D03846;D00241;D02274;D04127;D11154;D11215;D11492
H01491,Neuromyelitis optica,D009471,NA,G36.0,8A43,NA,Devic disease,NA,AQP4,361,Eculizumab;Inebilizumab;Satralizumab,D03940;D11757;D11079
H01492,Systemic sclerosis,D012595,181750,M34,4A42,NA,Systemic scleroderma,NA,HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;STAT4;IRF5;CD247;PTPN22;BANK1;TNFAIP3;TNIP1;TNFSF4;IL-1A;IL-1B;IL-1R1;CCR6,3123;3113;3115;3117;3119;6775;3663;919;26191;55024;7128;10318;7292;3552;3553;3554;1235,NA,NA
H01493,Localized Scleroderma,D012594,NA,L94.0,EB61,NA,Morphea,NA,NA,NA,NA,NA
H01494,SEMD with joint laxity type,C562968,271640;603546;618395,Q77.7,LD24.3,NA,NA,NA,B3GALT6;KIF22;EXOC6B,126792;3835;23233,NA,NA
H01495,Meniere disease,D008575,156000,H81.0,AB31.0,NA,NA,NA,NA,NA,NA,NA
H01496,Spondyloocular syndrome,C565285,605822,Q87.5,LD24.KY,NA,NA,NA,XYLT2,64132,NA,NA
H01497,Temtamy preaxial brachydactyly syndrome,C536958,605282,Q87.2,LD26.6Y,NA,NA,NA,CHSY1,22856,NA,NA
H01498,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects",C563914,245600,Q74.8,LD24.E,NA,Larsen-like syndrome,NA,B3GAT3,26229,NA,NA
H01500,Lupus nephritis,D008181,607965;607966;607967,M32.1;N08.5,4A40.0Y,NA,NA,NA,NA,NA,Voclosporin,D09033
H01502,Sjogren syndrome,D012859,270150,M35.0,4A43.2,NA,NA,NA,HLA-DRB1;IRF5;STAT4,3123;3663;6775,Prednisolone sodium phosphate;Prednisone;Pilocarpine hydrochloride;Cevimeline hydrochloride,D00981;D00473;D02200;D00661
H01504,Vogt-Koyanagi-Harada syndrome,D014607,NA,H20.8;H30.8,ED63.3,NA,Vogt-Koyanagi-Harada disease;Uveomeningoencephalitic syndrome,NA,HLA-DRB1;HLA-DRB4,3123;3126,NA,NA
H01505,Inclusion body myositis,D018979,NA,G72.4,4A41.20,NA,NA,NA,NA,NA,NA,NA
H01506,Hepatic encephalopathy,D006501,NA,K72,DB99.5,NA,Hepatic coma,NA,NA,NA,Rifaximin,D02554
H01507,Seronegative arthritis,D025241,106300,NA,NA,NA,NA,NA,HLA-B,3106,Triamcinolone acetonide;Dexamethasone;Dexamethasone sodium phosphate;Hydrocortisone;Hydrocortisone sodium succinate;Prednisolone;Prednisolone sodium phosphate;Prednisone;Methylprednisolone;Methylprednisolone sodium succinate;Methylprednisolone acetate;Cortisone acetate;Abatacept;Apremilast;Etanercept;Infliximab;Adalimumab;Certolizumab pegol;Golimumab;Ustekinumab;Secukinumab,D00983;D00292;D00975;D00088;D00978;D00472;D00981;D00473;D00407;D00751;D00979;D00973;D03203;D08860;D00742;D02598;D02597;D03441;D04358;D09214;D09967
H01508,Salivary gland cancer,D012468,NA,C08.9,2B68,NA,NA,NA,CRTC1-MAML2;MYB-NF1B;ETV6-NTRK3;EGFR;HER2;CDKN2A,23373 84441;4602;4916;1956;2064;1029,NA,NA
H01509,Tonsillar cancer,D014067,NA,C09.9,2B69,NA,NA,NA,CDKN2A;MYC;HIF1A,1029;4609;3091,NA,NA
H01510,Malignant paraganglioma,D010235,NA,C75.5,2D12,NA,NA,NA,SDHD;SDHB;SDHC;NF1;RET;VHL;TMEM127;MAX;EPAS1;FH,6392;6390;6391;4763;5979;7428;55654;4149;2034;2271,Iobenguane I 131,D03308
H01511,Mast-cell leukemia,D007946,NA,C94.3,2A21.00,NA,NA,NA,KIT,3815,Midostaurin,D05029
H01512,Langerhans cell histiocytosis,D006646,NA,C96.0;C96.5;C96.6,2B31.2,NA,NA,NA,BRAF;MAP2K1,673;5604,Vinblastine sulfate,D01068
H01513,Retinoblastoma,D012175,NA,C69.2,2D02.2,NA,NA,NA,RB1;MDM4;MDM2;KIF14;CDH11;p16/INK,5925;4194;4193;9928;1009;1029,Cyclophosphamide,D00287
H01514,Landau-Kleffner syndrome,D018887,245570,F80.3,8A62.2,NA,NA,NA,GRIN2A,2903,NA,NA
H01516,Adult onset Still disease,D016706,NA,M06.1,FA23,NA,Adult Still disease,NA,HLA-DRB1;IL-18;MEFV,3123;3606;4210,NA,NA
