	ENTRY	KEGG_disease_name	KEGG_synosyms	ICD-10	header	float	ICD_mid_class	KMN_candidate_IDs	KMN_candidate_Names	KMN_ICD10
29	H00228	Thalassemia	NO_DATA	D56.4	D	56.4	D55-D59	KMN191	Sickle Cell Syndrome	NO_DATA
29	H00228	Thalassemia	NO_DATA	D56.4	D	56.4	D55-D59	KMN192	High oxygen affinity hemoglobin erythremia	NO_DATA
29	H00228	Thalassemia	NO_DATA	D56.4	D	56.4	D55-D59	KMN193	Congenital hemolytic anemia	NO_DATA
29	H00228	Thalassemia	NO_DATA	D56.4	D	56.4	D55-D59	KMN195	Immune Hemolysis	NO_DATA
29	H00228	Thalassemia	NO_DATA	D56.4	D	56.4	D55-D59	KMN196	Spur Cell Anemia	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN184	alpha-Thalassemia Syndrome	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN185	G6PD Deficiency	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN186	beta-Thalassemia Syndrome	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN191	Sickle Cell Syndrome	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN192	High oxygen affinity hemoglobin erythremia	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN193	Congenital hemolytic anemia	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN195	Immune Hemolysis	NO_DATA
30	H00229	Sickle cell anemia	NO_DATA	D57	D	57.0	D55-D59	KMN196	Spur Cell Anemia	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN184	alpha-Thalassemia Syndrome	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN185	G6PD Deficiency	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN186	beta-Thalassemia Syndrome	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN191	Sickle Cell Syndrome	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN192	High oxygen affinity hemoglobin erythremia	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN193	Congenital hemolytic anemia	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN195	Immune Hemolysis	NO_DATA
84	H01585	Autoimmune hemolytic anemia	NO_DATA	D59.0	D	59.0	D55-D59	KMN196	Spur Cell Anemia	NO_DATA
31	H00237	Diamond-Blackfan anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN197	X-Linked Sideroblastic Anemia	NO_DATA
31	H00237	Diamond-Blackfan anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN199	Hereditary sideroblastic anemia	D64.0
31	H00237	Diamond-Blackfan anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN200	Anaplastic anemia	NO_DATA
31	H00237	Diamond-Blackfan anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN201	Idiopathic sideroblastic anemia	NO_DATA
43	H00439	Shwachman-Diamond syndrome	NO_DATA	D61.0	D	61.0	D60-D64	KMN197	X-Linked Sideroblastic Anemia	NO_DATA
43	H00439	Shwachman-Diamond syndrome	NO_DATA	D61.0	D	61.0	D60-D64	KMN199	Hereditary sideroblastic anemia	D64.0
43	H00439	Shwachman-Diamond syndrome	NO_DATA	D61.0	D	61.0	D60-D64	KMN200	Anaplastic anemia	NO_DATA
43	H00439	Shwachman-Diamond syndrome	NO_DATA	D61.0	D	61.0	D60-D64	KMN201	Idiopathic sideroblastic anemia	NO_DATA
60	H01132	Aplastic anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN197	X-Linked Sideroblastic Anemia	NO_DATA
60	H01132	Aplastic anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN199	Hereditary sideroblastic anemia	D64.0
60	H01132	Aplastic anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN200	Anaplastic anemia	NO_DATA
60	H01132	Aplastic anemia	NO_DATA	D61.0	D	61.0	D60-D64	KMN201	Idiopathic sideroblastic anemia	NO_DATA
86	H01586	Acquired pure red cell aplasia	NO_DATA	D60	D	60.0	D60-D64	KMN197	X-Linked Sideroblastic Anemia	NO_DATA
86	H01586	Acquired pure red cell aplasia	NO_DATA	D60	D	60.0	D60-D64	KMN199	Hereditary sideroblastic anemia	D64.0
86	H01586	Acquired pure red cell aplasia	NO_DATA	D60	D	60.0	D60-D64	KMN200	Anaplastic anemia	NO_DATA
86	H01586	Acquired pure red cell aplasia	NO_DATA	D60	D	60.0	D60-D64	KMN201	Idiopathic sideroblastic anemia	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN202	Alpha2 Plasmin Inhibitor Deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN203	Antithrombin Deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN205	Glanzmann's Disease	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN207	Dysfibrinogenemia	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN210	Plasminogen Activator Inhibitor 1 Deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN211	Protein C Deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN212	Protein S Deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN213	Prothrombin Deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN214	Henoch-Schonlein Purpura	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN216	Resistance to Activated Protein C	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN217	Hemophilia A	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN218	Hemophilia B	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN219	Hyperfibrinogenemia	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN220	Coagulant factor VII hyperactivity	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN221	Congenital coagulant factor XII deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN222	Congenital hypoplasminogenemia	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN223	Congenital heparin cofactor II deficiency	NO_DATA
23	H00219	Hemophilia	NO_DATA	D66	D	66.0	D65-D69	KMN230	Idiopathic Thrombocytopenic Purpura	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN202	Alpha2 Plasmin Inhibitor Deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN203	Antithrombin Deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN205	Glanzmann's Disease	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN207	Dysfibrinogenemia	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN210	Plasminogen Activator Inhibitor 1 Deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN211	Protein C Deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN212	Protein S Deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN213	Prothrombin Deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN214	Henoch-Schonlein Purpura	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN216	Resistance to Activated Protein C	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN217	Hemophilia A	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN218	Hemophilia B	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN219	Hyperfibrinogenemia	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN220	Coagulant factor VII hyperactivity	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN221	Congenital coagulant factor XII deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN222	Congenital hypoplasminogenemia	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN223	Congenital heparin cofactor II deficiency	NO_DATA
24	H00219	Hemophilia	NO_DATA	D67	D	67.0	D65-D69	KMN230	Idiopathic Thrombocytopenic Purpura	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN202	Alpha2 Plasmin Inhibitor Deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN203	Antithrombin Deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN205	Glanzmann's Disease	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN207	Dysfibrinogenemia	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN210	Plasminogen Activator Inhibitor 1 Deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN211	Protein C Deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN212	Protein S Deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN213	Prothrombin Deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN214	Henoch-Schonlein Purpura	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN216	Resistance to Activated Protein C	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN217	Hemophilia A	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN218	Hemophilia B	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN219	Hyperfibrinogenemia	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN220	Coagulant factor VII hyperactivity	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN221	Congenital coagulant factor XII deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN222	Congenital hypoplasminogenemia	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN223	Congenital heparin cofactor II deficiency	NO_DATA
25	H00219	Hemophilia	NO_DATA	D68.0	D	68.0	D65-D69	KMN230	Idiopathic Thrombocytopenic Purpura	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN202	Alpha2 Plasmin Inhibitor Deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN203	Antithrombin Deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN205	Glanzmann's Disease	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN207	Dysfibrinogenemia	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN210	Plasminogen Activator Inhibitor 1 Deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN211	Protein C Deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN212	Protein S Deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN213	Prothrombin Deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN214	Henoch-Schonlein Purpura	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN216	Resistance to Activated Protein C	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN217	Hemophilia A	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN218	Hemophilia B	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN219	Hyperfibrinogenemia	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN220	Coagulant factor VII hyperactivity	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN221	Congenital coagulant factor XII deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN222	Congenital hypoplasminogenemia	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN223	Congenital heparin cofactor II deficiency	NO_DATA
57	H00995	Combined deficiency of vitamin K-dependent clotting factors	NO_DATA	D68.4	D	68.4	D65-D69	KMN230	Idiopathic Thrombocytopenic Purpura	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN233	TNF-alpha Receptor-associated Periodic Syndrome	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN234	Mycobacteria Susceptibility	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN236	Eosinophilia	D72.1
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN237	Neutropenia	D70
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN238	Polycythemia	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN239	Congenital Methemoglobinemia	D74.0
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN240	Congenital neutropenia	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN241	Leukocyte Adhesion Deficiency Type 1	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN242	Leukocyte Adhesion Deficiency Type 2	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN243	Leukocyte Adhesion Deficiency Type 3	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN282	X-linked TBG Deficiency	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN283	Graves' Disease	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN284	Sick Euthyroid Syndrome	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN285	Familial Dysalbuminemic Hyperthyroxinemia	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN286	Hashimoto's disease	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN287	Resistance to Thyroid Hormone	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN288	Euthyroid Hyperthyroxinemia	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN289	Thyroid Disease	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN290	Autoimmune Hypothyroidism	NO_DATA
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN291	Congenital Hypothyroidism	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN282	X-linked TBG Deficiency	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN283	Graves' Disease	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN284	Sick Euthyroid Syndrome	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN285	Familial Dysalbuminemic Hyperthyroxinemia	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN286	Hashimoto's disease	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN287	Resistance to Thyroid Hormone	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN288	Euthyroid Hyperthyroxinemia	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN289	Thyroid Disease	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN290	Autoimmune Hypothyroidism	NO_DATA
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN291	Congenital Hypothyroidism	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN282	X-linked TBG Deficiency	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN283	Graves' Disease	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN284	Sick Euthyroid Syndrome	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN285	Familial Dysalbuminemic Hyperthyroxinemia	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN286	Hashimoto's disease	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN287	Resistance to Thyroid Hormone	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN288	Euthyroid Hyperthyroxinemia	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN289	Thyroid Disease	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN290	Autoimmune Hypothyroidism	NO_DATA
35	H00250	Congenital nongoitrous hypothyroidism (CHNG)	NO_DATA	E03.1	E	3.1	E00-E07	KMN291	Congenital Hypothyroidism	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN282	X-linked TBG Deficiency	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN283	Graves' Disease	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN284	Sick Euthyroid Syndrome	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN285	Familial Dysalbuminemic Hyperthyroxinemia	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN286	Hashimoto's disease	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN287	Resistance to Thyroid Hormone	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN288	Euthyroid Hyperthyroxinemia	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN289	Thyroid Disease	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN290	Autoimmune Hypothyroidism	NO_DATA
126	H01645	Hyperthyroidism	Thyrotoxicosis	E05	E	5.0	E00-E07	KMN291	Congenital Hypothyroidism	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN308	17 alpha-Hydroxylase Deficiency	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN309	21-Hydroxylase Deficiency	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN310	3 beta-Hydroxysteroid Dehydrogenase Type II Deficiency	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN311	ACTH Deficiency	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN315	Carcinoid Syndrome	E34.0
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN316	Kallmann Syndrome	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN319	Cushing's Disease	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN320	Glucocorticoid-Remediable Aldosteronism	E26.02
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN321	Gonadotropin Deficiency	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN322	Gonadotropin-Independent Precocious Puberty	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN324	Frohlich Syndrome	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN325	Jansen's Disease	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN327	Lymphocytic Hypophysitis	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN328	Ectopic hormone producing tumor	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN330	Pseudopseudohypoparathyroidism	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN333	Syndrome of Inappropriate Antidiuretic Hormone Secretion	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN334	Hypergonadotropic Hypogonadal Ovarian Failure	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN335	Autoimmune Polyendocrinopathy-Candidiasis-Ectodermal Dystrophy	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN336	Congenital Disorders Associated with Gonadotropin Deficiency	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN337	Gonadotropin-releasing Hormone Resistance	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN338	Adult GH Deficiency	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN341	Congenital Lipoid Adrenal Hyperplasia	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN343	Progeria	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN344	Polyglandular Autoimmune Syndrome Type I	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN345	Polyglandular Autoimmune Syndrome Type II	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN346	Polycystic Ovarian Syndrome	E28.2
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN347	Idiopathic hypoparathyroidism	E20.0
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN348	Diabetes Insipidus	E23.2
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN349	Panhypopituitarism	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN350	Adrenogenital Syndrome	NO_DATA
34	H00246	Primary hyperparathyroidism	Familial hyperparathyroidism	E21.0	E	21.0	E20-E35	KMN351	Ovarian Failure	NO_DATA
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN308	17 alpha-Hydroxylase Deficiency	NO_DATA
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN309	21-Hydroxylase Deficiency	NO_DATA
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN310	3 beta-Hydroxysteroid Dehydrogenase Type II Deficiency	NO_DATA
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN311	ACTH Deficiency	NO_DATA
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN315	Carcinoid Syndrome	E34.0
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN316	Kallmann Syndrome	NO_DATA
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN319	Cushing's Disease	NO_DATA
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN320	Glucocorticoid-Remediable Aldosteronism	E26.02
36	H00253	Neurohypophyseal diabetes insipidus (NPDI)	Central Diabetes Insipidus	E23.2	E	23.2	E20-E35	KMN321	Gonadotropin Deficiency	NO_DATA
