ENTRY	Name	MeSH	OMIM	ICD-10	ICD-11	MedlinePlus	Alias_Name	Pathway	Gene_symbol	UniProtID	Drug_name	kegg_drugID	DrugBank	CAS	ChEBI	UniProt_count	Symbol_count	DrugBank_count
H01228	Insulin-resistant diabetes mellitus with acanthosis nigricans	C562710	610549	E11	5A13.1	NO_DATA	Type A insulin resistance	NO_DATA	INSR	P06213	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01229	Inclusion body myopathy 3	C538330	605637	G71.8	4A41.2	NO_DATA	NO_DATA	NO_DATA	MYH2	Q9UKX2	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01230	Adult-onset autosomal dominant leukodystrophy	C566813	169500	E75.2;G35	8A44.3	NO_DATA	NO_DATA	NO_DATA	LMNB1	P20700	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01231	Biotin-responsive basal ganglia disease	C537658	607483	NO_DATA	5C63.Y	NO_DATA	NO_DATA	NO_DATA	SLC19A3	Q9BZV2	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01232	Syndromic multisystem autoimmune disease	NO_DATA	613385	NO_DATA	4A43.Y	NO_DATA	NO_DATA	NO_DATA	ITCH	Q96J02	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01233	Urocanase deficiency	C536479	276880	E70.8	5C50.21	NO_DATA	Urocanic aciduria	NO_DATA	UROC1	Q96N76	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01234	Trimethylaminuria	C536561	602079	E88.8	5C50.G	NO_DATA	Fish-odor syndrome	NO_DATA	FMO3	A0A024R8Z4;Q53FW5;P31513	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	1.0	0.0
H01235	Bleeding disorder platelet-type	NO_DATA	609821;614200;614201;614009;615888;616913;617443	D69.8	3B62	NO_DATA	NO_DATA	NO_DATA	ITGA2;SLFN14;TBXA2R;P2RY12;GP6;RASGRP2;FLI1	A0A024R3M5;P21731;Q7LDG7;P17301;Q05C92;A8K7T1;Q01543;P0C7P3;Q0VAB0;Q9HCN6;Q9H244	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	11.0	7.0	0.0
H01236	Familial articular chondrocalcinosis	C563162	118600	M11.1	FA26.2	NO_DATA	NO_DATA	NO_DATA	ANKH	Q9HCJ1	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01237	Sulfite oxidase deficiency	C538141	272300	E72.1	5C50.B	NO_DATA	NO_DATA	NO_DATA	SUOX	P51687;A0A024RB79	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01238	Phelan-McDermid syndrome	C536801	606232	Q93.5	LD44.NY	NO_DATA	Chromosome 22q13.3 deletion syndrome	NO_DATA	SHANK3	Q9BYB0	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01239	Combined SAP deficiency	C567125	611721	E75.2	5C56.0Y	NO_DATA	Prosaposin deficiency	NO_DATA	PSAP	A0A024QZQ2;P07602	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01240	Immune thrombocytopenia	D016553	188030	D69.3	3B64.10	NO_DATA	Autoimmune thrombocytopenic purpura	NO_DATA	FCGR2C	P31995	Prednisone;Romiplostim;Eltrombopag olamine;Fostamatinib disodium;Methylprednisolone sodium succinate;Rho immune globulin	D00473;D08990;D03978;D09348;D00751;D05723	DB00635;DB00959	NA;267639-76-9;496775-62-3;914295-16-2;2375-03-3;NA	NA;NA;NA;NA;6890;NA	1.0	1.0	2.0
H01241	Congenital diaphragmatic hernia	C538080	610187	Q79.0	LB00.0	NO_DATA	NO_DATA	NO_DATA	ZFPM2	Q9NPQ0;Q8WW38	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01242	Saccharopinuria	C537218	268700	E72.3	5C50.4	NO_DATA	NO_DATA	NO_DATA	AASS	Q9UDR5;A4D0W4	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01243	Huntington disease-like syndrome	C580174	603218;606438;607136	NO_DATA	8A01.11	NO_DATA	NO_DATA	NO_DATA	HDL4;TBP;HDL2;JPH3;PRNP	P04156;F8W9A3;Q32MN7;P20226;Q53YK7;B4DIC1;Q8WXH2	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	7.0	5.0	0.0
H01244	T+B+Severe combined immunodeficiencies (SCIDs)	C563311	609889	D81	4A01.10	NO_DATA	NO_DATA	hsa05340  Primary immunodeficiency	RAG-1;RAG1	P15918	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	2.0	0.0
H01245	Immunodeficiency without anhidrotic ectodermal dysplasia	C536289	300584	NO_DATA	4A0Y	NO_DATA	NO_DATA	hsa05340  Primary immunodeficiency	IKBKG	Q9Y6K9	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01246	Isolated congenital nail clubbing	D010004	119900	Q68.1	LB80.1	NO_DATA	Isolated congenital digital clubbing	NO_DATA	HPGD	P15428	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01247	Pyridoxine-dependent epilepsy	C536254	266100	G40.8	8A61.0Y	NO_DATA	NO_DATA	NO_DATA	ALDH7A1	P49419	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01248	Erythrocyte lactate transporter defect	C565449	245340	NO_DATA	5C53.Y	NO_DATA	NO_DATA	NO_DATA	SLC16A1	P53985;A0A024R0H1;B4DKS0	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	1.0	0.0
H01249	Ethylmalonic encephalopathy	C535737	602473	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	ETHE1	O95571;A0A0S2Z5B3	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01250	Hereditary gingival fibromatosis	D005351	135300;617626	K06.1	DA0D.1	NO_DATA	NO_DATA	NO_DATA	SOS1;REST	Q13127;Q07889	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	2.0	0.0
H01251	Focal cortical dysplasia of Taylor	C537067	607341	Q04.8	LA05.51	NO_DATA	Focal cortical dysplasia type II	NO_DATA	TSC2;TSC1;MTOR	X5D9D2;P49815;P42345;Q86WV8;Q92574	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	5.0	3.0	0.0
H01252	Hereditary folate malabsorption	NO_DATA	229050	D52.8	5C63.1	NO_DATA	NO_DATA	NO_DATA	SLC46A1	A0A024QZ15;Q96NT5	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01253	Isolated follicle-stimulating hormone deficiency	C537070	229070	E23.6	5A61.0	NO_DATA	NO_DATA	NO_DATA	FSHB	A0A0F7RQE8;P01225	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01254	Congenital prothrombin deficiency	NO_DATA	613679	D68	3B14	NO_DATA	NO_DATA	NO_DATA	F2	P00734	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01255	Juvenile-onset dystonia	C537704	607371	Q87.8	8A02.0Y	NO_DATA	NO_DATA	NO_DATA	ACTB	Q1KLZ0;P60709	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01256	Foveal hypoplasia	C565005	136520;609218	Q14	LA13.8	NO_DATA	NO_DATA	NO_DATA	PAX6;SLC38A8	A6NNN8;Q66SS1;P26367	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	2.0	0.0
H01257	GABA-transaminase deficiency	C535407	613163	E72.8	5C59.1	NO_DATA	4-Aminobutyrate aminotransferase deficiency	NO_DATA	ABAT	X5D8S1;P80404	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01258	Generalized epilepsy and paroxysmal dyskinesia	C563719	609446	G40.4	8A61.2Y	NO_DATA	NO_DATA	NO_DATA	KCNMA1	Q12791	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01259	Giant axonal neuropathy	D056768	256850;610100	G60.8	8C2Y	NO_DATA	NO_DATA	NO_DATA	GAN;DCAF8	A0A0S2Z4W2;Q9H2C0;B7Z8C9;B3KTC3;Q5TAQ9	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	5.0	2.0	0.0
H01260	Glomerulopathy with fibronectin deposits	C536826	601894	N07.6	MF81	NO_DATA	NO_DATA	NO_DATA	FN1	Q9UQS6;P02751;Q6MZM7	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	1.0	0.0
H01261	Congenital glucose-galactose malabsorption	C562602	606824	E74.3	5C61.Y	NO_DATA	NO_DATA	NO_DATA	SLC5A1	P13866	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01262	Formiminotransferase deficiency	C537425	229100	E70.8	3A02.Y;5C63.1	NO_DATA	NO_DATA	NO_DATA	FTCD	O95954	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01263	Progressive cardiac conduction defect (PCCD)	NO_DATA	113900;604559	Q20.9	BC63.Y	NO_DATA	Progressive familial heart block (PFHB);Lenegre-Lev disease	NO_DATA	TRPM4;SCN5A	H9KVD2;Q8TD43;Q14524	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	2.0	0.0
H01264	Hepatic venoocclusive disease with immunodeficiency	C537257	235550	K76.5	4A01.33	NO_DATA	NO_DATA	NO_DATA	SP110	Q9HB58	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01265	Hydrolethalus syndrome	C536079	236680;614120	Q87.8	LD2F.1Y	NO_DATA	NO_DATA	NO_DATA	HYLS1;KIF7	Q96M11;A0A024R3K0;Q2M1P5	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	2.0	0.0
H01266	Hypercarotenemia and vitamin A deficiency	C567296	115300	E50;E67.1	5B55;5B90.1	NO_DATA	NO_DATA	NO_DATA	BCO1;BCMO1	Q9HAY6	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	2.0	0.0
H01267	Familial hyperinsulinemic hypoglycemia	D006946	256450;601820;602485;609975;609968;606762;610021;240800	E16.1	5A45	NO_DATA	NO_DATA	NO_DATA	KCNJ11;HADHSC;ABCC8;SLC16A1;GLUD1;INSR;GCK	Q14654;A0A140VK76;Q16836;E9KL48;B4DKS0;Q53Y25;P35557;P06213;P00367;P53985;A0A024R0H1;Q09428	Diazoxide	D00294	DB01119	364-98-7	4495	12.0	7.0	1.0
H01268	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome	C538380	238970	E72.4	5C50.AY	NO_DATA	HHH syndrome	NO_DATA	SLC25A15	Q9Y619	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01269	Congenital hyperthyroidism	C563786;C566384	603373;609152	E05.8	5A02	NO_DATA	NO_DATA	NO_DATA	TSHR	P16473;A0A0A0MTJ0	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01270	Familial hypobetalipoproteinemia	D006995	107730;605019	E78.6	5C81.1	NO_DATA	NO_DATA	NO_DATA	APOB;ANGPTL3	Q7Z7Q0;P04114;Q9Y5C1;Q59HB3	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	4.0	2.0	0.0
H01271	Hypoparathyroidism with sensorineural deafness and renal dysplasia	C537907	146255	Q87.8	LD27.0Y	NO_DATA	HDR syndrome;Barakat syndrome	NO_DATA	GATA3	P23771	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01272	Hypoplastic left heart syndrome	D018636	241550;614435	Q23.4	LA89.3	NO_DATA	NO_DATA	NO_DATA	NKX25;GJA1;HAND1;NKX2-5	P52952;O96004;P17302;A0A654IBU3;A0A0S2Z383	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	5.0	4.0	0.0
H01273	Autosomal dominant keratitis	C537022	148190	H16.8	9A7Y	NO_DATA	Hereditary keratitis	NO_DATA	PAX6	Q66SS1;P26367	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01274	Growth delay due to insulin-like growth factor I resistance	C564816	270450	E34.3	5A61.0	NO_DATA	IGF-I resistance	NO_DATA	IGF1R	P08069	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01275	Interleukin 1 receptor antagonist deficiency (DIRA)	C557815	612852	NO_DATA	NO_DATA	NO_DATA	Multifocal osteomyelitis with periostitis and pustulosis (OMPP)	NO_DATA	IL1RN	P18510	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01276	Chronic idiopathic intestinal pseudo-obstruction	D007418	300048	K59.8	DA90.2	NO_DATA	CIIP	NO_DATA	FLNA	Q60FE5;P21333;Q6NXF2	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	1.0	0.0
H01277	Vitamin B12 deficiency anaemia	NO_DATA	261000;261100	D51.0;D51.1	3A01	NO_DATA	NO_DATA	NO_DATA	GIF;AMN;CBLIF;CUBN	Q9BXJ7;O60494;P27352	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	4.0	0.0
H01278	Iron-refractory iron deficiency anemia	NO_DATA	206200	D50.8	3A00.Y	NO_DATA	NO_DATA	NO_DATA	TMPRSS6	Q8IU80	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01279	Isobutyryl-CoA dehydrogenase deficiency	C535541	611283	E71.1	5C50.DY	NO_DATA	NO_DATA	NO_DATA	ACAD8	Q9UKU7	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01280	L-2-hydroxyglutaric aciduria	C535306	236792	NO_DATA	5C50.E1	NO_DATA	NO_DATA	NO_DATA	L2HGDH	Q9H9P8	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01281	Lathosterolosis	C537880	607330	Q87.8	5C52.10	NO_DATA	NO_DATA	NO_DATA	SC5D;SC5DL	A0A024R3G4;O75845	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	2.0	0.0
H01282	Spermatogenic failure	C567832;C564030	258150;606766;270960;243060;102530;612997;613957;613958;614822;615081;615413;615841;615842;616950;617187;617214;617576;617592;617593;617644;617706;617707;415000;309120;617959;617960;617961;617965;618086;618091;618110;618112;618115;618152;618153;618341;618420;618429;618433;618643;618664;618670	N46	GB04.Y	NO_DATA	NO_DATA	NO_DATA	;PLCZ1;CFAP69;CFAP44;BRDT;AK7;AURKC;SUN5;NANOS1;PMFBP1;TSGA10;ARMC2;TAF4B;DNAH17;TDRD9;FSIP2;KLHL10;SPATA16;SEPT12;CFAP65;SOHLH1;NR5A1;PPP2R3C;TEX11;MEIOB;SYCP3;CFAP43;CFAP70;SYCE1;FANCM;TTC21A;ZMYND15;TEX14;QRICH2;TEX15;WDR66;DPY19L2;CATSPER1;SPINK2;SLC26A8;DNAH1;SYCP2;USP9Y	Q8NDM7;Q9BXT5;A0A140VJM8;A0A024RBF8;Q86WA0;F1D8R8;Q8N0S2;Q13285;Q8IWB6;A0A384MDU5;Q9H0J4;A0A140VJV8;Q58F21;Q8NDW8;Q9BXB7;Q8IYM1;Q9UQB9;A0A024RCV0;Q9UF55;Q9NUU0;Q9BX26;Q8NDG6;Q8IZU3;A0A140VJR9;Q96M32;Q6NUT2;Q8NEN0;Q6ZU64;Q5T0N1;Q9P2D7;Q8TC36;Q9H091;Q8TBY9;Q8WY41;A0A218MIY9;Q8TBY8;Q96RN1;Q6JEL2;Q96MT7;A0A140VJI6;Q8IYF3;A0A024RD95;Q9UFH2;B4DZ05;A5D8W1;Q8N635;Q969Q6;Q5JUK2;Q8NEC5;Q5CZC0;A0A0B4J1R9;P20155;Q9BZW7;Q86YW0;Q92750;O00507;Q8IYD8	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	57.0	43.0	0.0
H01283	Malonyl-CoA decarboxylase deficiency	C535702	248360	E72.8	5C50.E1	NO_DATA	NO_DATA	NO_DATA	MLYCD	O95822	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01284	Marinesco-Sjogren syndrome	D013132	248800	G11.1	8C70.6	NO_DATA	NO_DATA	NO_DATA	SIL1	A0A0S2Z6B4;Q9H173	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01285	Methylcobalamin deficiency type G	C565394	250940	E72.1	5C50.B	NO_DATA	NO_DATA	NO_DATA	MTR	Q99707	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01286	Microtia hearing impairment and cleft palate (MHICP)	C567359	612290	Q87.0	LD2H.Y	NO_DATA	NO_DATA	NO_DATA	HOXA2	O43364	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01287	Congenital mirror movements	NO_DATA	157600;614508;616059;618264	G25.8	8A07.Y	NO_DATA	NO_DATA	NO_DATA	DNAL4;NTN1;RAD51;RAD51A;DCC	Q06609;O95631;O96015;Q49AK4;P43146	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	5.0	5.0	0.0
H01288	Mosaic variegated aneuploidy syndrome	C536987	257300;614114;617598	Q99.8	LD7Y	NO_DATA	NO_DATA	NO_DATA	BUB1B;CEP57;TRIP13	Q15645;O60566;Q86XR8	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	3.0	0.0
H01289	Mulibrey nanism	D050336	253250	Q87.1	LD2F.1Y	NO_DATA	NO_DATA	NO_DATA	TRIM37	O94972	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01290	Acute recurrent myoglobinuria	C564832	268200	R82.1	MF95	NO_DATA	NO_DATA	NO_DATA	LPIN1	Q14693	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01291	Spheroid body myopathy	C535466	182920	G71.8	8C72.0Y	NO_DATA	NO_DATA	NO_DATA	MYOT	Q9UBF9;A0A0C4DFM5	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01292	Nance-Horan syndrome	C538336	302350	Q87.0	LD2F.1Y	NO_DATA	NO_DATA	NO_DATA	NHS	Q6T4R5	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01293	Narcolepsy	D009290	161400;614250	G47.4	7A20	NO_DATA	NO_DATA	NO_DATA	HCRT;MOG	O43612;Q16653	Sodium oxybate;Amphetamine sulfate;Dextroamphetamine sulfate;Methylphenidate hydrochloride;Modafinil;Armodafinil;Solriamfetol hydrochloride;Pitolisant hydrochloride	D05866;D02074;D02078;D01296;D01832;D03215;D11328;D11490	DB03568;DB00182;DB00422;DB00745	502-85-2;60-13-9;51-63-8;298-59-9;68693-11-8;112111-43-0;178429-65-7;903576-44-3	NA;51063;51064;31836;31859;77590;NA;NA	2.0	2.0	4.0
H01294	Nephrogenic syndrome of inappropriate antidiuresis	C564491	300539	E22.2	5A60.20	NO_DATA	NO_DATA	NO_DATA	AVPR2	P30518	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01295	Neurodegeneration due to cerebral folate transport deficiency	C567791	613068	G31.8	5C63.1	NO_DATA	NO_DATA	NO_DATA	FOLR1	A0A024R5H1;P15328	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01296	Hereditary neuropathy with liability to pressure palsies	C536965	162500	G60.0	8C20.Y	NO_DATA	NO_DATA	NO_DATA	PMP22	Q01453;Q6FH25	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H01297	Neutral lipid storage disease with myopathy	C565192	610717	E75.5	5C52.2	NO_DATA	NO_DATA	NO_DATA	PNPLA2	Q96AD5	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01298	Pulmonary alveolar microlithiasis	NO_DATA	265100	NO_DATA	CB06	NO_DATA	NO_DATA	NO_DATA	SLC34A2	O95436	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01299	Idiopathic pulmonary fibrosis	NO_DATA	178500	J84.1	CB03.4	NO_DATA	NO_DATA	NO_DATA	;TERT;SFTPA2;SFTPC;MUC5B;TERC;SFTPA1	A0A024QZP2;P11686;A0A0S2Z4Q0;O14746;Q8IWL2;Q9HC84;Q8IWL1	Prednisolone sodium phosphate;Prednisone;Nintedanib esylate;Pirfenidone	D00981;D00473;D10396;D01583	DB00860;DB00635	125-02-0;NA;656247-18-6;53179-13-8	8379;NA;85170;32016	7.0	7.0	2.0
H01301	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts	NO_DATA	613730	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	JAM3	Q9BX67	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01302	Hyperchlorhidrosis isolated (HCHLH)	NO_DATA	143860	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	CA12	O43570	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01303	Hypercatabolic hypoproteinemia	NO_DATA	241600	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	B2M	P61769	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01304	Hyperglycinuria	NO_DATA	138500	NO_DATA	5C60.Y	NO_DATA	NO_DATA	NO_DATA	SLC36A2;SLC6A19;SLC6A20	Q9NP91;Q495M3;Q695T7	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	3.0	0.0
H01305	Global cerebral hypomyelination	C567847	612949	G31.8	5C53.30	NO_DATA	Early infantile epileptic encephalopathy 39	NO_DATA	SLC25A12	O75746	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01306	FRA12A mental retardation	C566980	136630	F79	6A00	NO_DATA	NO_DATA	NO_DATA	DIP2B	Q96IB4;Q9P265;Q7Z3H2	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	1.0	0.0
H01307	Nonsyndromic congenital nail disorder	NO_DATA	161050;151600;206800;607523;614157;161200	L60.3	EC22.0	NO_DATA	NO_DATA	NO_DATA	COL7A1;LMX1B;PLCD1;RSPO4;FZD6	P51178;A8K8F9;Q02388;O60663;Q59F16;O60353;A0A384MR47;A0A024R9E9;Q2I0M5	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	9.0	5.0	0.0
H01308	Macrocephaly macrosomia facial dysmorphism syndrome	NO_DATA	614192	Q87.3	LD2C	NO_DATA	NO_DATA	NO_DATA	RNF135	Q8IUD6	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01309	Sarcoidosis, early-onset	D012507	609464	D86	4B20	NO_DATA	NO_DATA	NO_DATA	NOD2	Q9HC29	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H01310	Multi-minicore disease	C564969	602771;255320	G71.2	8C72.0Y	NO_DATA	Multicore myopathy with external ophthalmoplegia;Rigid spine syndrome (RSS)	NO_DATA	RYR1;SELENON;SEPN1	Q9NZV5;P21817	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	3.0	0.0
