	Keymolnet_disease	ICD10	KEGG_ENTRY	KEGG_Name
KMN431	Dicarboxylic Aminoaciduria	NO_DATA	H00911	Dicarboxylic aminoaciduria
KMN91	Diffuse Large-Cell Lymphoma	C83.3	H02434	Diffuse large B-cell lymphoma, not otherwise specified
KMN92	Diffuse Large B-cell Lymphoma	C83.3	H02434	Diffuse large B-cell lymphoma, not otherwise specified
KMN432	Dihydropyrimidinase Deficiency	NO_DATA	H00199	Dihydropyrimidinase deficiency
KMN433	Dihydropyrimidine Dehydrogenase Deficiency	NO_DATA	H00193	Dihydropyrimidine dehydrogenase deficiency
KMN736	Dilated Cardiomyopathy	NO_DATA	H00294	Dilated cardiomyopathy
KMN231	Disseminated Intravascular Coagulation	NO_DATA	H01587	Disseminated intravascular coagulation
KMN667	Distal Myopathy with Rimmed Vacuoles	G71.8	H00594;H00595;H00596;H01129;H01229;H01291;H01338;H01340;H01341;H01781;H02031;H02179;H02247;H02268;H02320;H02321	Distal myopathy;Myofibrillar myopathies;Nonaka distal myopathy (NM);Brody myopathy;Inclusion body myopathy 3;Spheroid body myopathy;Myosclerosis;Bethlem myopathy;Collagen VI myopathy;Autophagic vacuolar myopathy;Inclusion body myopathy with Paget disease of bone and frontotemporal dementia;Rippling muscle disease;Ehlers-Danlos syndrome myopathic type;Wieacker-Wolff syndrome;Vacuolar myopathy with CASQ1 aggregates;Early-onset myopathy, areflexia, respiratory distress, and dysphagia
KMN895	Down's Syndrome	NO_DATA	H01552	Down syndrome
KMN443	Dubin-Johnson Syndrome	NO_DATA	H02056	Dubin-Johnson syndrome
KMN657	Duchenne Muscular Dystrophy	NO_DATA	H01963	Duchenne muscular dystrophy
KMN133	Ductal Carcinoma in Situ	NO_DATA	NO_DATA	NO_DATA
KMN776	Dumping Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN207	Dysfibrinogenemia	D68.2	H00223;H00941	Inherited thrombophilia;Factor XII deficiency
KMN890	Dyskeratosis Congenita	NO_DATA	H00507	Dyskeratosis congenita
KMN145	Dysplastic gangliocytoma of cerebellum	Q04.8	H00270;H00271;H01034;H01251;H01870;H01881;H02494	Periventricular nodular heterotopia;Polymicrogyria;L1 syndrome;Focal cortical dysplasia of Taylor;Microhydranencephaly;Complex cortical dysplasia with other brain malformations;Alkuraya-Kucinskas syndrome
KMN600	Early-onset torsion dystonia	G24.1	H00831	Primary dystonia
KMN328	Ectopic hormone producing tumor	E24.3	NO_DATA	NO_DATA
KMN863	Ehlers-Danlos Syndrome	NO_DATA	H00802	Ehlers-Danlos syndrome
KMN79	Embryonal Carcinoma	NO_DATA	NO_DATA	NO_DATA
KMN652	Emery-Dreifuss Muscular Dystrophy	NO_DATA	H00563	Emery-Dreifuss muscular dystrophy
KMN749	Emphysema	J43	H01714	Chronic obstructive pulmonary disease (COPD)
KMN584	Encephalomyelitis	G05.1	NO_DATA	NO_DATA
KMN718	Endocrine hypertension	I15.2	H00258;H00602	Aldosterone synthase deficiency;Glucocorticoid-remediable aldosteronism (GRA)
KMN83	Endodermal Sinus Tumor	NO_DATA	NO_DATA	NO_DATA
KMN50	Endometrial Cancer	NO_DATA	H00026	Endometrial cancer
KMN845	Endometriosis	NO_DATA	H01639	Endometriosis
KMN236	Eosinophilia	D72.1	NO_DATA	NO_DATA
KMN805	Eosinophilic Granulomatosis with Polyangiitis	NO_DATA	H01468	Eosinophilic granulomatosis with polyangiitis
KMN64	Ependymoma	NO_DATA	NO_DATA	NO_DATA
KMN893	Epidermolysis Bullosa	NO_DATA	H01737	Epidermolysis bullosa
KMN617	Epilepsy Syndrome	G49.5	NO_DATA	NO_DATA
KMN613	Episodic Ataxia	NO_DATA	NO_DATA	NO_DATA
KMN177	Epithelioid Hemangioendothelioma	D18.0	NO_DATA	NO_DATA
KMN204	Epstein syndrome	NO_DATA	H00578	Epstein syndrome
KMN112	Erythroleukemia	C94.0	NO_DATA	NO_DATA
KMN553	Erythropoietic Protoporphyria	E80.0	H00201	Erythropoietic porphyria
KMN19	Esophageal Cancer	NO_DATA	H00017	Esophageal cancer
KMN571	Essential Fructosuria	E74.11	NO_DATA	NO_DATA
KMN719	Essential Hypertension	I10	H01633	High blood pressure
KMN244	Essential Thrombocytosis	NO_DATA	H01612	Essential thrombocytosis
KMN572	Essential pentosuria	E74.8	H00117;H01065;H01126;H01189;H02013;H02380;H02439	Primary hyperoxaluria;Pentosuria;Familial renal glucosuria;Transaldolase deficiency;Glycerol kinase deficiency;D-glyceric aciduria;Short stature, developmental delay, congenital heart defect
KMN288	Euthyroid Hyperthyroxinemia	E07.8	H00249	Thyroid hormone resistance syndrome
KMN31	Ewing's Sarcoma	NO_DATA	H00035	Ewing sarcoma
KMN457	Fabry Disease	NO_DATA	H00125	Fabry disease
KMN669	Facioscapulohumeral Muscular Dystrophy	NO_DATA	H00591	Facioscapulohumeral muscular dystrophy
KMN225	Factor VII Deficiency	NO_DATA	H02256	Factor VII deficiency
KMN226	Factor V Deficiency	NO_DATA	H00220	Factor V deficiency
KMN227	Factor XIII Deficiency	NO_DATA	H00945	Factor XIII deficiency
KMN228	Factor XI Deficiency	NO_DATA	H00938	Factor XI deficiency
KMN229	Factor X Deficiency	NO_DATA	H02257	Factor X deficiency
KMN139	Familial Adenomatous Polyposis	NO_DATA	H01025	Familial adenomatous polyposis
KMN635	Familial Amyloid Polyneuropathy	NO_DATA	NO_DATA	NO_DATA
KMN509	Familial Apolipoprotein C-II Deficiency	E78.3	H00154;H00157;H01784	Hyperlipoproteinemia, type I;Hyperlipoproteinemia, type V;Primary hyperchylomicronemia
KMN517	Familial Combined Hyperlipidemia	NO_DATA	H00153	Familial combined hyperlipidemia
KMN511	Familial Defective ApoB-100	E78.0	H01383;H01918	Hyperlipoproteinemia type IIa;Familial autosomal recessive hypercholesterolemia
KMN285	Familial Dysalbuminemic Hyperthyroxinemia	E05.8	H01269	Congenital hyperthyroidism
KMN510	Familial Dysbetalipoproteinemia	E78.2	H00156;H01637	Hyperlipoproteinemia, type III;Hypertriglyceridemia
KMN619	Familial Hemiplegic Migraine	G43.1	H00775	Hemiplegic migraine
KMN512	Familial Hyperalphalipoproteinemia	E78.4	H01199;H01637	Hyperalphalipoproteinemia;Hypertriglyceridemia
KMN513	Familial Hypercholesterolemia	NO_DATA	H00155	Familial hypercholesterolemia
KMN514	Familial Hypertriglyceridemia	E78.2	H00156;H01637	Hyperlipoproteinemia, type III;Hypertriglyceridemia
KMN516	Familial Hypobetalipoproteinemia	NO_DATA	H01270	Familial hypobetalipoproteinemia
KMN515	Familial Hypocalciuric Hypercalcemia	NO_DATA	H02026	Familial hypocalciuric hypercalcemia
KMN329	Familial Male-Limited Precocious Puberty	NO_DATA	H02019	Familial male-limited precocious puberty
KMN158	Familial Paraganglioma Syndrome	D35.0;D35.6	NO_DATA	NO_DATA
KMN696	Familial Spastic Paraplegia	G82.1	NO_DATA	NO_DATA
KMN458	Fanconi-Bickel Syndrome	NO_DATA	H01947	Fanconi-Bickel syndrome
KMN459	Fanconi Syndrome	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
KMN198	Fanconi's Anemia	NO_DATA	H00238	Fanconi anemia
KMN456	Farber Disease	E75.2	H00074;H00136;H00137;H00138;H00423;H00424;H00438;H00679;H00869;H00871;H00874;H00875;H00878;H01230;H01239;H02200;H02356;H02433	Canavan disease;Niemann-Pick disease type C;Niemann-Pick disease type A/B;Farber lipogranulomatosis;Sphingolipidosis;Defects in the degradation of sphingomyelin;Nasu-Hakola disease;Hypomyelinating leukodystrophy;Leukoencephalopathy with vanishing white matter;Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation;Leukoencephalopathy with dystonia and motor neuropathy;Megaloencephalic leukoencephalopathy with subcortical cysts;Cystic leukoencephalopathy without megalencephaly;Adult-onset autosomal dominant leukodystrophy;Combined SAP deficiency;Leukoencephalopathy, progressive, with ovarian failure;PCWH syndrome;Hypomyelination with brainstem and spinal cord involvement and leg spasticity
KMN8	Fatal Familial Insomnia	NO_DATA	NO_DATA	NO_DATA
KMN208	Fechtner syndrome	NO_DATA	H02053	Fechtner syndrome
KMN814	Fibromyalgia	NO_DATA	H01636	Fibromyalgia
KMN828	Focal and Segmental Glomerulosclerosis	N05.1	H00626	Focal segmental glomerulosclerosis
KMN366	Folate Deficiency	E53.8	H00180;H01182	Holocarboxylase synthetase deficiency;Biotinidase deficiency
KMN132	Follicular Lymphoma	NO_DATA	H01613	Follicular lymphoma
KMN478	Formiminoglutamic Aciduria	E70.8	H00548;H01233;H01262;H02087	Brunner syndrome;Urocanase deficiency;Formiminotransferase deficiency;Vertebral, cardiac, renal, and limb defects syndrome
KMN589	Friedreich's Ataxia	NO_DATA	H00067	Friedreich ataxia
KMN324	Frohlich Syndrome	E23.6	H01011	Adrenocorticotropic hormone deficiency
KMN611	Frontotemporal Lobar Degeneration	NO_DATA	H00078	Frontotemporal lobar degeneration
KMN465	Fructose 1,6-bisphosphate Aldolase A Deficiency	E74.19	NO_DATA	NO_DATA
KMN464	Fructose 1,6-diphosphatase Deficiency	E74.1	H00114	Fructose-1,6-bisphosphatase deficiency
KMN463	Fucosidosis	NO_DATA	H00141	Fucosidosis
KMN694	Fukuyama Congenital Muscular Dystrophy	NO_DATA	H01957	Fukuyama congenital muscular dystrophy
KMN185	G6PD Deficiency	D55.0	H00668;H01375	Anemia due to disorders of glutathione metabolism;Glucose 6-phosphate dehydrogenase deficiency
KMN164	GIST	D37.9	NO_DATA	NO_DATA
KMN381	GM2-ganglioside activator deficiency	E75.1	H00144;H00276;H00281;H00426	Mucolipidosis IV;Galactosialidosis;GM1 gangliosidosis;Gangliosidosis
KMN306	GRFomas	NO_DATA	NO_DATA	NO_DATA
KMN382	GTP Cyclohydrolase I Deficiency	E70.1	NO_DATA	NO_DATA
KMN413	Galactokinase Deficiency	NO_DATA	H02009	Galactokinase deficiency
KMN402	Galactosemia with Uridyl Transferase Deficiency	E74.2	H00070;H02008;H02010	Galactosemia;Galactose-1P uridylyltransferase deficiency;Galactose epimerase deficiency
KMN774	Gallstone	K80.5	NO_DATA	NO_DATA
KMN15	Gastric Cancer	NO_DATA	H00018	Gastric cancer
KMN154	Gastrinoma	D37.7	NO_DATA	NO_DATA
KMN760	Gastroesophageal regurgitation	K21.9	NO_DATA	NO_DATA
KMN380	Gaucher Disease	NO_DATA	H00126	Gaucher disease
KMN624	Generalized Epilepsy with Febrile Convulsions Plus	G40.3	H00606;H00783;H00806;H00808;H00810;H01775;H01822;H01994;H02150;H02212;H02213;H02216;H02217;H02353;H02362	Early infantile epileptic encephalopathy;Febrile seizures;Benign familial neonatal seizure;Idiopathic generalized epilepsies;Progressive myoclonic epilepsy;PCDH19-related epilepsy syndrome;Epilepsy with myoclonic absence;Lafora disease;Infantile or early childhood epileptic encephalopathy;Familial infantile myoclonic epilepsy;Familial adult myoclonic epilepsy;Juvenile absence epilepsy;Juvenile myoclonic epilepsy;Hyperekplexia and epilepsy;Benign familial infantile seizure
KMN85	Germ Cell Tumor	NO_DATA	NO_DATA	NO_DATA
KMN84	Germinoma	NO_DATA	NO_DATA	NO_DATA
KMN6	Gerstmann-Straussler-Scheinker Disease	NO_DATA	NO_DATA	NO_DATA
KMN801	Giant Cell Arteritis	NO_DATA	H01698	Giant cell arteritis
KMN434	Gilbert's Syndrome	NO_DATA	H02055	Gilbert syndrome
KMN317	Gitelman Syndrome	NO_DATA	H00240	Gitelman syndrome
KMN205	Glanzmann's Disease	D69.1	H00226;H02093;H02097	Glanzmann thrombasthenia;Platelet-type von Willebrand disease;Gray platelet syndrome
KMN706	Glaucoma	H40	NO_DATA	NO_DATA
KMN74	Glioblastoma	NO_DATA	NO_DATA	NO_DATA
KMN65	Glioma	NO_DATA	H00042	Glioma
KMN137	Glucagonoma	D13.7	NO_DATA	NO_DATA
KMN320	Glucocorticoid-Remediable Aldosteronism	E26.02	NO_DATA	NO_DATA
KMN416	Glucose-Galactose Malabsorption	E74.3	H00115;H01261;H02090	Congenital sucrase-isomaltase deficiency;Congenital glucose-galactose malabsorption;Trehalase deficiency
KMN417	Glucose-Transport Defect	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN420	Glutaric Acidemia Type I	E72.3	H00178;H01242	Glutaric acidemia;Saccharopinuria
KMN419	Glutaric Acidemia Type II	E71.3	H00162;H00176;H00177;H00178;H00392;H00407;H00488;H00489;H00525;H00925;H01121;H01123;H01352;H01364;H01589;H01929;H01980;H01983;H02085;H02096;H02098	Sjogren-Larsson syndrome;Adrenoleukodystrophy;Neonatal adrenoleukodystrophy;Glutaric acidemia;VLCAD deficiency;Peroxisomal beta-oxidation enzyme deficiency;MCAD deficiency;LCHAD deficiency;Disorders of mitochondrial fatty-acid oxidation;2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency;Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency;HMG-CoA synthase deficiency;Mitochondrial trifunctional protein deficiency;3-Hydroxyacyl-CoA dehydrogenase deficiency;Systemic primary carnitine deficiency;2,4-Dienoyl-CoA reductase deficiency;SCAD deficiency;Carnitine-acylcarnitine translocase deficiency;Acyl-CoA dehydrogenase 9 deficiency;Peroxisomal acyl-CoA oxidase deficiency;D-bifunctional protein deficiency
KMN418	Glutathione synthetase deficiency	NO_DATA	H02312	Glutathione synthetase deficiency
KMN521	Glycogen Storage Disease 0	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN525	Glycogen Storage Disease I	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN530	Glycogen Storage Disease II	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN522	Glycogen Storage Disease III	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN523	Glycogen Storage Disease IV	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN524	Glycogen Storage Disease IX	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN532	Glycogen Storage Disease V	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN526	Glycogen Storage Disease VI	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN531	Glycogen Storage Disease VII	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN527	Glycogen Storage Disease XI	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN161	Goiter	E04.9	NO_DATA	NO_DATA
KMN858	Gonadal Dysgenesis	Q96.9;Q99.1	H00598;H00599;H00607	46,XX testicular disorder of sex development;Ovarian dysgenesis;46,XY gonadal dysgenesis
KMN322	Gonadotropin-Independent Precocious Puberty	E22.8	H00937	Precocious puberty
KMN148	Gonadotropin-Producing Pituitary Adenoma	D35.2	NO_DATA	NO_DATA
KMN337	Gonadotropin-releasing Hormone Resistance	E23.0	H00255;H01699;H01700;H01860;H02027;H02035;H02036;H02038;H02039	Hypogonadotropic hypogonadism;Isolated TSH deficiency;Hypopituitarism;Abnormal pituitary gonadotropin secretion;Male hypogonadism;Isolated growth hormone deficiency;Combined pituitary hormone deficiency;X-linked panhypopituitarism;Kowarski syndrome
KMN321	Gonadotropin Deficiency	E23.0	H00255;H01699;H01700;H01860;H02027;H02035;H02036;H02038;H02039	Hypogonadotropic hypogonadism;Isolated TSH deficiency;Hypopituitarism;Abnormal pituitary gonadotropin secretion;Male hypogonadism;Isolated growth hormone deficiency;Combined pituitary hormone deficiency;X-linked panhypopituitarism;Kowarski syndrome
KMN798	Goodpasture's Syndrome	M31.0	H01721	Anti-glomerular basement membrane (GBM) disease
KMN877	Gorlin Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN179	Granulosa Cell Tumor	D39.1	NO_DATA	NO_DATA
KMN283	Graves' Disease	E05.0	H00082;H02402	Graves disease;Thyroid eye disease
KMN264	Griscelli Syndrome	NO_DATA	H02022	Griscelli syndrome
KMN339	Growth Hormone Deficiency	NO_DATA	H00254	Growth hormone deficiency
KMN627	Guillain-Barre Syndrome	NO_DATA	H01436	Guillain-Barre syndrome
KMN705	Gyrate Atrophy of the Choroid and Retina	E72.4	H00189;H01268	Ornithinaemia;Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
KMN453	HPRT Deficiency	E79.8	H00196;H00964;H00966	Phosphoribosylpyrophosphate synthetase superactivity;Thiopurine S-methyltransferase deficiency (TPMT deficiency);AICA-ribosiduria
KMN131	Hairy Cell Leukemia	NO_DATA	H00006	Hairy cell leukemia
KMN448	Hartnup Disease	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
KMN286	Hashimoto's disease	E06.3	H00081	Hashimoto thyroiditis
KMN471	Hawkinsinuria	E70.2	H00165	Tyrosinemia
KMN82	Head and Neck Cancer	NO_DATA	H02420	Head and neck cancer
KMN14	Helicobacter Pylori Infection	NO_DATA	NO_DATA	NO_DATA
KMN160	Hemangioblastoma	D33.4;D33.7  	NO_DATA	NO_DATA
KMN41	Hemangiopericytoma	C49;D21.9	H00049;H00052;H00804	Myxoid liposarcoma;Clear cell sarcoma of soft tissue;Multiple cutaneous and uterine leiomyomata
KMN796	Hemarthrosis	NO_DATA	NO_DATA	NO_DATA
KMN468	Hemochromatosis	NO_DATA	H00211	Hemochromatosis
KMN217	Hemophilia A	D66	H00219	Hemophilia
KMN218	Hemophilia B	D68	H01254	Congenital prothrombin deficiency
KMN214	Henoch-Schonlein Purpura	D69.0	H01584	IgA vasculitis
KMN767	Hepatic Coma	NO_DATA	NO_DATA	NO_DATA
KMN768	Hepatic Encephalopathy	NO_DATA	H01506	Hepatic encephalopathy
KMN519	Hepatic Lipase Deficiency	NO_DATA	H02329	Hepatic lipase deficiency
KMN815	Hepatic osteodystrophy	NO_DATA	NO_DATA	NO_DATA
KMN766	Hepatitis	NO_DATA	NO_DATA	NO_DATA
KMN17	Hepatoblastoma	NO_DATA	H02302	Hepatoblastoma
KMN18	Hepatocellular Carcinoma	NO_DATA	H00048	Hepatocellular carcinoma
KMN520	Hepatoerythropoietic porphyria	E80.2	H00202	Hepatic porphyria
KMN508	Hereditary Aceruloplasminemia	G23.0	H00832;H00833;H02206;H02207;H02208;H02209	Core neuroacanthocytosis syndromes;Neurodegeneration with brain iron accumulation;Aceruloplasminemia;Kufor-Rakeb syndrome;Pantothenate kinase-associated neurodegeneration;HARP syndrome
KMN506	Hereditary Coproporphyria	E80.2	H00202	Hepatic porphyria
KMN189	Hereditary Elliptocytosis	NO_DATA	H00231	Hereditary elliptocytosis
KMN777	Hereditary Fructose Intolerance	NO_DATA	H00071	Hereditary fructose intolerance
KMN708	Hereditary Hearing Impairment	NO_DATA	NO_DATA	NO_DATA
KMN741	Hereditary Hemorrhagic Telangiectasia	NO_DATA	H00533	Hereditary hemorrhagic telangiectasia
KMN666	Hereditary Inclusion Body Myopathy	G71.8	H00594;H00595;H00596;H01129;H01229;H01291;H01338;H01340;H01341;H01781;H02031;H02179;H02247;H02268;H02320;H02321	Distal myopathy;Myofibrillar myopathies;Nonaka distal myopathy (NM);Brody myopathy;Inclusion body myopathy 3;Spheroid body myopathy;Myosclerosis;Bethlem myopathy;Collagen VI myopathy;Autophagic vacuolar myopathy;Inclusion body myopathy with Paget disease of bone and frontotemporal dementia;Rippling muscle disease;Ehlers-Danlos syndrome myopathic type;Wieacker-Wolff syndrome;Vacuolar myopathy with CASQ1 aggregates;Early-onset myopathy, areflexia, respiratory distress, and dysphagia
KMN633	Hereditary Neuropathy with Pressure Palsies	NO_DATA	NO_DATA	NO_DATA
KMN16	Hereditary Nonpolyposis Colon Cancer	D48.9	NO_DATA	NO_DATA
KMN190	Hereditary Pyropoikilocytosis	NO_DATA	H01125	Hereditary pyropoikilocytosis
KMN634	Hereditary Sensory and Autonomic Neuropathy	NO_DATA	H00265	Hereditary sensory and autonomic neuropathy
KMN187	Hereditary Spherocytosis	NO_DATA	H00230	Hereditary spherocytosis
KMN188	Hereditary Stomatocytosis	NO_DATA	H00232	Hereditary stomatocytosis
KMN507	Hereditary Vitamin D-resistant Rickets	E83.3	H00214;H01113;H02138;H02139;H02143	Hypophosphatemic rickets;Acid phosphatase deficiency;Hereditary hypophophatemic rickets with hypercalciuria;Autosomal recessive hypophosphatemic rickets;X-linked dominant hypophosphatemic rickets
