index	Keymolnet_disease	ICD10	KEGG_ENTRY	KEGG_Name
KMN630	Dejerine-Sottas Disease	G60.0	H02359	Dejerine-Sottas disease
KMN604	Dementia with Lewy Bodies	G31.83	NO_DATA	NO_DATA
KMN591	Dentatorubropallidoluysian Atrophy	G11.2	H00060	Dentatorubropallidoluysian atrophy (DRPLA)
KMN860	Denys-Drash Syndrome	N04.1	NO_DATA	NO_DATA
KMN575	Depression	F32	H01646	Major depressive disorder
KMN37	Dermatofibrosarcoma Protuberans	C44;C49	H00040;H00049;H00052	Squamous cell carcinoma;Myxoid liposarcoma;Clear cell sarcoma of soft tissue
KMN810	Dermatomyositis	M33.0;M33.1	NO_DATA	NO_DATA
KMN167	Desmoplastic Small Round-cell Tumor	C48.2	NO_DATA	NO_DATA
KMN266	DiGeorge Syndrome	D82.1	H01524	DiGeorge syndrome
KMN348	Diabetes Insipidus	E23.2	H00253	Neurohypophyseal diabetes insipidus (NPDI)
KMN303	Diabetic Ketoacidosis	E14.1	NO_DATA	NO_DATA
KMN829	Diabetic Nephropathy	N08.3	H01456	Diabetic nephropathy
KMN704	Diabetic Proliferative Retinopathy	H35.2	H01798	Autosomal dominant neovascular inflammatory vitreoretinopathy
KMN304	Diabetic neuropathy	E10.4	H01459	Diabetic neuropathy
KMN564	Dibasic Aminoaciduria	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
KMN431	Dicarboxylic Aminoaciduria	E72.0	H00911	Dicarboxylic aminoaciduria
KMN91	Diffuse Large-Cell Lymphoma	C83.3	H02434	Diffuse large B-cell lymphoma, not otherwise specified
KMN92	Diffuse Large B-cell Lymphoma	C83.3	H02434	Diffuse large B-cell lymphoma, not otherwise specified
KMN432	Dihydropyrimidinase Deficiency	E79.8	H00199	Dihydropyrimidinase deficiency
KMN433	Dihydropyrimidine Dehydrogenase Deficiency	E79.8	H00193	Dihydropyrimidine dehydrogenase deficiency
KMN736	Dilated Cardiomyopathy	I42.0	H00294	Dilated cardiomyopathy
KMN231	Disseminated Intravascular Coagulation	D65	H01587	Disseminated intravascular coagulation
KMN667	Distal Myopathy with Rimmed Vacuoles	G71.8	H00594;H00595;H00596;H01129;H01229;H01291;H01338;H01340;H01341;H01781;H02031;H02179;H02247;H02268;H02320;H02321	Distal myopathy;Myofibrillar myopathies;Nonaka distal myopathy (NM);Brody myopathy;Inclusion body myopathy 3;Spheroid body myopathy;Myosclerosis;Bethlem myopathy;Collagen VI myopathy;Autophagic vacuolar myopathy;Inclusion body myopathy with Paget disease of bone and frontotemporal dementia;Rippling muscle disease;Ehlers-Danlos syndrome myopathic type;Wieacker-Wolff syndrome;Vacuolar myopathy with CASQ1 aggregates;Early-onset myopathy, areflexia, respiratory distress, and dysphagia
KMN895	Down's Syndrome	Q90	H01552	Down syndrome
KMN443	Dubin-Johnson Syndrome	E80.6	H02056	Dubin-Johnson syndrome
KMN657	Duchenne Muscular Dystrophy	G71.0	H01963	Duchenne muscular dystrophy
KMN133	Ductal Carcinoma in Situ	D05.1	NO_DATA	NO_DATA
KMN776	Dumping Syndrome	K91.1	NO_DATA	NO_DATA
KMN207	Dysfibrinogenemia	D68.2	H00223;H00941	Inherited thrombophilia;Factor XII deficiency
KMN890	Dyskeratosis Congenita	Q82.8	H00507	Dyskeratosis congenita
KMN145	Dysplastic gangliocytoma of cerebellum	Q04.8	H00270;H00271;H01034;H01251;H01870;H01881;H02494	Periventricular nodular heterotopia;Polymicrogyria;L1 syndrome;Focal cortical dysplasia of Taylor;Microhydranencephaly;Complex cortical dysplasia with other brain malformations;Alkuraya-Kucinskas syndrome
KMN600	Early-onset torsion dystonia	G24.1	H00831	Primary dystonia
KMN328	Ectopic hormone producing tumor	E24.3	NO_DATA	NO_DATA
KMN863	Ehlers-Danlos Syndrome	Q79.6	H00802	Ehlers-Danlos syndrome
KMN79	Embryonal Carcinoma	C22.7	NO_DATA	NO_DATA
KMN652	Emery-Dreifuss Muscular Dystrophy	G71.0	H00563	Emery-Dreifuss muscular dystrophy
KMN749	Emphysema	J43	H01714	Chronic obstructive pulmonary disease (COPD)
KMN584	Encephalomyelitis	G05.1	NO_DATA	NO_DATA
KMN718	Endocrine hypertension	I15.2	H00258;H00602	Aldosterone synthase deficiency;Glucocorticoid-remediable aldosteronism (GRA)
KMN83	Endodermal Sinus Tumor	C56	NO_DATA	NO_DATA
KMN50	Endometrial Cancer	C54.1	H00026	Endometrial cancer
KMN845	Endometriosis	N80	H01639	Endometriosis
KMN236	Eosinophilia	D72.1	NO_DATA	NO_DATA
KMN805	Eosinophilic Granulomatosis with Polyangiitis	M30.1	H01468	Eosinophilic granulomatosis with polyangiitis
KMN64	Ependymoma	C71.9	NO_DATA	NO_DATA
KMN893	Epidermolysis Bullosa	Q81	H01737	Epidermolysis bullosa
KMN617	Epilepsy Syndrome	G49.5	NO_DATA	NO_DATA
KMN613	Episodic Ataxia	G11.8	H00749;H01204;H01478;H01898;H02101;H02140;H02144	Episodic ataxias;Cerebellar ataxia, mental retardation (MR), and dysequilibrium syndrome (CAMRQ);Machado-Joseph disease;PNPLA6-related disorders;Autosomal dominant sensory ataxia;Boucher-Neuhauser syndrome;Gordon Holmes syndrome
KMN177	Epithelioid Hemangioendothelioma	D18.0	NO_DATA	NO_DATA
KMN204	Epstein syndrome	D69.4	H00578	Epstein syndrome
KMN112	Erythroleukemia	C94.0	NO_DATA	NO_DATA
KMN553	Erythropoietic Protoporphyria	E80.0	H00201	Erythropoietic porphyria
KMN19	Esophageal Cancer	C15	H00017	Esophageal cancer
KMN571	Essential Fructosuria	E74.11	NO_DATA	NO_DATA
KMN719	Essential Hypertension	I10	H01633	High blood pressure
KMN244	Essential Thrombocytosis	D47.3	H01612	Essential thrombocytosis
KMN572	Essential pentosuria	E74.8	H00117;H01065;H01126;H01189;H02013;H02380;H02439	Primary hyperoxaluria;Pentosuria;Familial renal glucosuria;Transaldolase deficiency;Glycerol kinase deficiency;D-glyceric aciduria;Short stature, developmental delay, congenital heart defect
KMN288	Euthyroid Hyperthyroxinemia	E07.8	H00249	Thyroid hormone resistance syndrome
KMN31	Ewing's Sarcoma	C49.9	H00035	Ewing sarcoma
KMN457	Fabry Disease	E75.2	H00125	Fabry disease
KMN669	Facioscapulohumeral Muscular Dystrophy	G71.02	H00591	Facioscapulohumeral muscular dystrophy
KMN225	Factor VII Deficiency	D68.2	H02256	Factor VII deficiency
KMN226	Factor V Deficiency	D68.2	H00220	Factor V deficiency
KMN227	Factor XIII Deficiency	D68.2	H00945	Factor XIII deficiency
KMN228	Factor XI Deficiency	D68.1	H00938	Factor XI deficiency
KMN229	Factor X Deficiency	D68.2	H02257	Factor X deficiency
KMN139	Familial Adenomatous Polyposis	D12.6	H01025	Familial adenomatous polyposis
KMN635	Familial Amyloid Polyneuropathy	E85.1;G63.3	H02322	Amyloidosis, Finnish type
KMN509	Familial Apolipoprotein C-II Deficiency	E78.3	H00154;H00157;H01784	Hyperlipoproteinemia, type I;Hyperlipoproteinemia, type V;Primary hyperchylomicronemia
KMN517	Familial Combined Hyperlipidemia	E78.4	H00153	Familial combined hyperlipidemia
KMN511	Familial Defective ApoB-100	E78.0	H01383;H01918	Hyperlipoproteinemia type IIa;Familial autosomal recessive hypercholesterolemia
KMN285	Familial Dysalbuminemic Hyperthyroxinemia	E05.8	H01269	Congenital hyperthyroidism
KMN510	Familial Dysbetalipoproteinemia	E78.2	H00156;H01637	Hyperlipoproteinemia, type III;Hypertriglyceridemia
KMN619	Familial Hemiplegic Migraine	G43.1	H00775	Hemiplegic migraine
KMN512	Familial Hyperalphalipoproteinemia	E78.4	H01199;H01637	Hyperalphalipoproteinemia;Hypertriglyceridemia
KMN513	Familial Hypercholesterolemia	E78.01	H00155	Familial hypercholesterolemia
KMN514	Familial Hypertriglyceridemia	E78.2	H00156;H01637	Hyperlipoproteinemia, type III;Hypertriglyceridemia
KMN516	Familial Hypobetalipoproteinemia	E78.6	H01270	Familial hypobetalipoproteinemia
KMN515	Familial Hypocalciuric Hypercalcemia	E83.5	H02026	Familial hypocalciuric hypercalcemia
KMN329	Familial Male-Limited Precocious Puberty	E30.1	H02019	Familial male-limited precocious puberty
KMN158	Familial Paraganglioma Syndrome	D35.0;D35.6	NO_DATA	NO_DATA
KMN696	Familial Spastic Paraplegia	G82.1	NO_DATA	NO_DATA
KMN458	Fanconi-Bickel Syndrome	E74.0	H01947	Fanconi-Bickel syndrome
KMN459	Fanconi Syndrome	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
KMN198	Fanconi's Anemia	D61.0	H00238	Fanconi anemia
KMN456	Farber Disease	E75.2	H00074;H00136;H00137;H00138;H00423;H00424;H00438;H00679;H00869;H00871;H00874;H00875;H00878;H01230;H01239;H02200;H02356;H02433	Canavan disease;Niemann-Pick disease type C;Niemann-Pick disease type A/B;Farber lipogranulomatosis;Sphingolipidosis;Defects in the degradation of sphingomyelin;Nasu-Hakola disease;Hypomyelinating leukodystrophy;Leukoencephalopathy with vanishing white matter;Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation;Leukoencephalopathy with dystonia and motor neuropathy;Megaloencephalic leukoencephalopathy with subcortical cysts;Cystic leukoencephalopathy without megalencephaly;Adult-onset autosomal dominant leukodystrophy;Combined SAP deficiency;Leukoencephalopathy, progressive, with ovarian failure;PCWH syndrome;Hypomyelination with brainstem and spinal cord involvement and leg spasticity
KMN8	Fatal Familial Insomnia	A81.83	NO_DATA	NO_DATA
KMN208	Fechtner syndrome	D69.4	H02053	Fechtner syndrome
KMN814	Fibromyalgia	M79.7	H01636	Fibromyalgia
KMN828	Focal and Segmental Glomerulosclerosis	N05.1	H00626	Focal segmental glomerulosclerosis
KMN366	Folate Deficiency	E53.8	H00180;H01182	Holocarboxylase synthetase deficiency;Biotinidase deficiency
KMN132	Follicular Lymphoma	C82	H01613	Follicular lymphoma
KMN478	Formiminoglutamic Aciduria	E70.8	H00548;H01233;H01262;H02087	Brunner syndrome;Urocanase deficiency;Formiminotransferase deficiency;Vertebral, cardiac, renal, and limb defects syndrome
KMN589	Friedreich's Ataxia	G11.1	H00067	Friedreich ataxia
KMN324	Frohlich Syndrome	E23.6	H01011	Adrenocorticotropic hormone deficiency
KMN611	Frontotemporal Lobar Degeneration	G31.0	H00078	Frontotemporal lobar degeneration
KMN465	Fructose 1,6-bisphosphate Aldolase A Deficiency	E74.19	NO_DATA	NO_DATA
KMN464	Fructose 1,6-diphosphatase Deficiency	E74.1	H00114	Fructose-1,6-bisphosphatase deficiency
KMN463	Fucosidosis	E77.1	H00141	Fucosidosis
KMN694	Fukuyama Congenital Muscular Dystrophy	G71.0	H01957	Fukuyama congenital muscular dystrophy
KMN185	G6PD Deficiency	D55.0	H00668;H01375	Anemia due to disorders of glutathione metabolism;Glucose 6-phosphate dehydrogenase deficiency
KMN164	GIST	D37.9	NO_DATA	NO_DATA
KMN381	GM2-ganglioside activator deficiency	E75.1	H00144;H00276;H00281;H00426	Mucolipidosis IV;Galactosialidosis;GM1 gangliosidosis;Gangliosidosis
KMN306	GRFomas	E16.8	NO_DATA	NO_DATA
KMN382	GTP Cyclohydrolase I Deficiency	E70.1	NO_DATA	NO_DATA
KMN413	Galactokinase Deficiency	E74.2	H02009	Galactokinase deficiency
KMN402	Galactosemia with Uridyl Transferase Deficiency	E74.2	H00070;H02008;H02010	Galactosemia;Galactose-1P uridylyltransferase deficiency;Galactose epimerase deficiency
KMN774	Gallstone	K80.5	NO_DATA	NO_DATA
KMN15	Gastric Cancer	C16.9	H00018	Gastric cancer
KMN154	Gastrinoma	D37.7	NO_DATA	NO_DATA
KMN760	Gastroesophageal regurgitation	K21.9	NO_DATA	NO_DATA
KMN380	Gaucher Disease	E75.22	H00126	Gaucher disease
KMN624	Generalized Epilepsy with Febrile Convulsions Plus	G40.3	H00606;H00783;H00806;H00808;H00810;H01775;H01822;H01994;H02150;H02212;H02213;H02216;H02217;H02353;H02362	Early infantile epileptic encephalopathy;Febrile seizures;Benign familial neonatal seizure;Idiopathic generalized epilepsies;Progressive myoclonic epilepsy;PCDH19-related epilepsy syndrome;Epilepsy with myoclonic absence;Lafora disease;Infantile or early childhood epileptic encephalopathy;Familial infantile myoclonic epilepsy;Familial adult myoclonic epilepsy;Juvenile absence epilepsy;Juvenile myoclonic epilepsy;Hyperekplexia and epilepsy;Benign familial infantile seizure
KMN85	Germ Cell Tumor	C80.9	NO_DATA	NO_DATA
KMN84	Germinoma	C38.3;C48.8;C72.9	NO_DATA	NO_DATA
KMN6	Gerstmann-Straussler-Scheinker Disease	A81.8	NO_DATA	NO_DATA
KMN801	Giant Cell Arteritis	M31.5;M31.6	H01698	Giant cell arteritis
KMN434	Gilbert's Syndrome	E80.4	H02055	Gilbert syndrome
KMN317	Gitelman Syndrome	N15.8	H00240	Gitelman syndrome
KMN205	Glanzmann's Disease	D69.1	H00226;H02093;H02097	Glanzmann thrombasthenia;Platelet-type von Willebrand disease;Gray platelet syndrome
KMN706	Glaucoma	H40	NO_DATA	NO_DATA
KMN74	Glioblastoma	C71.9	NO_DATA	NO_DATA
KMN65	Glioma	C71.9	H00042	Glioma
KMN137	Glucagonoma	D13.7	NO_DATA	NO_DATA
KMN320	Glucocorticoid-Remediable Aldosteronism	E26.02	NO_DATA	NO_DATA
KMN416	Glucose-Galactose Malabsorption	E74.3	H00115;H01261;H02090	Congenital sucrase-isomaltase deficiency;Congenital glucose-galactose malabsorption;Trehalase deficiency
KMN417	Glucose-Transport Defect	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN420	Glutaric Acidemia Type I	E72.3	H00178;H01242	Glutaric acidemia;Saccharopinuria
KMN419	Glutaric Acidemia Type II	E71.3	H00162;H00176;H00177;H00178;H00392;H00407;H00488;H00489;H00525;H00925;H01121;H01123;H01352;H01364;H01589;H01929;H01980;H01983;H02085;H02096;H02098	Sjogren-Larsson syndrome;Adrenoleukodystrophy;Neonatal adrenoleukodystrophy;Glutaric acidemia;VLCAD deficiency;Peroxisomal beta-oxidation enzyme deficiency;MCAD deficiency;LCHAD deficiency;Disorders of mitochondrial fatty-acid oxidation;2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency;Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency;HMG-CoA synthase deficiency;Mitochondrial trifunctional protein deficiency;3-Hydroxyacyl-CoA dehydrogenase deficiency;Systemic primary carnitine deficiency;2,4-Dienoyl-CoA reductase deficiency;SCAD deficiency;Carnitine-acylcarnitine translocase deficiency;Acyl-CoA dehydrogenase 9 deficiency;Peroxisomal acyl-CoA oxidase deficiency;D-bifunctional protein deficiency
KMN418	Glutathione synthetase deficiency	D55.1	H02312	Glutathione synthetase deficiency
KMN521	Glycogen Storage Disease 0	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN525	Glycogen Storage Disease I	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN530	Glycogen Storage Disease II	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN522	Glycogen Storage Disease III	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN523	Glycogen Storage Disease IV	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN524	Glycogen Storage Disease IX	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN532	Glycogen Storage Disease V	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN526	Glycogen Storage Disease VI	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN531	Glycogen Storage Disease VII	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN527	Glycogen Storage Disease XI	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN161	Goiter	E04.9	NO_DATA	NO_DATA
KMN858	Gonadal Dysgenesis	Q96.9;Q99.1	H00598;H00599;H00607	46,XX testicular disorder of sex development;Ovarian dysgenesis;46,XY gonadal dysgenesis
KMN322	Gonadotropin-Independent Precocious Puberty	E22.8	H00937	Precocious puberty
KMN148	Gonadotropin-Producing Pituitary Adenoma	D35.2	NO_DATA	NO_DATA
KMN337	Gonadotropin-releasing Hormone Resistance	E23.0	H00255;H01699;H01700;H01860;H02027;H02035;H02036;H02038;H02039	Hypogonadotropic hypogonadism;Isolated TSH deficiency;Hypopituitarism;Abnormal pituitary gonadotropin secretion;Male hypogonadism;Isolated growth hormone deficiency;Combined pituitary hormone deficiency;X-linked panhypopituitarism;Kowarski syndrome
KMN321	Gonadotropin Deficiency	E23.0	H00255;H01699;H01700;H01860;H02027;H02035;H02036;H02038;H02039	Hypogonadotropic hypogonadism;Isolated TSH deficiency;Hypopituitarism;Abnormal pituitary gonadotropin secretion;Male hypogonadism;Isolated growth hormone deficiency;Combined pituitary hormone deficiency;X-linked panhypopituitarism;Kowarski syndrome
KMN798	Goodpasture's Syndrome	M31.0	H01721	Anti-glomerular basement membrane (GBM) disease
KMN877	Gorlin Syndrome	Q87.0	H00446;H00454;H00622;H00687;H00756;H00811;H00908;H00922;H00986;H01286;H01292;H01752;H01753;H01755;H01756;H01838;H01840;H01886;H01888;H01908;H01930;H01932;H01934;H01990;H01991;H02023;H02046;H02072;H02081;H02151;H02161;H02234;H02253;H02254;H02255;H02271;H02274;H02326;H02365;H02382	Craniofacial-deafness-hand syndrome;Oral-facial-digital syndrome;Hypoparathyroidism-retardation-dysmorphism syndrome;Fraser syndrome;Pitt-Hopkins syndrome;Distal arthrogryposis;Mowat-Wilson syndrome;Schinzel-Giedion midface retraction syndrome;Multiple pterygium syndrome;Microtia hearing impairment and cleft palate (MHICP);Nance-Horan syndrome;ATR-X syndrome;Antley-Bixler syndrome;Apert syndrome;Pfeiffer syndrome;Mandibulofacial dysostosis with microcephaly;Moebius syndrome;Van den Ende-Gupta syndrome;Carpenter syndrome;Carey-Fineman-Ziter syndrome;Au-Kline syndrome;Ablepharon-macrostomia syndrome;Barber-Say syndrome;Muenke syndrome;Saethre-Chotzen syndrome;Baraitser-Winter syndrome;OFC syndrome;Stickler syndrome;Marshall syndrome;Hereditary congenital facial paresis;Greig cephalopolysyndactyly syndrome;Hamamy syndrome;Beaulieu-Boycott-Innes syndrome;Craniosynostosis and dental anomalies;FDLAB syndrome;Cerebellofaciodental syndrome;Cerebellar atrophy, visual impairment, and psychomotor retardation;Keipert syndrome;Helsmoortel-van der Aa syndrome;Bainbridge-Ropers syndrome
KMN179	Granulosa Cell Tumor	D39.1	NO_DATA	NO_DATA
KMN283	Graves' Disease	E05.0	H00082;H02402	Graves disease;Thyroid eye disease
KMN264	Griscelli Syndrome	E70.3	H02022	Griscelli syndrome
KMN339	Growth Hormone Deficiency	E23.0	H00254	Growth hormone deficiency
KMN627	Guillain-Barre Syndrome	G61.0	H01436	Guillain-Barre syndrome
KMN705	Gyrate Atrophy of the Choroid and Retina	E72.4	H00189;H01268	Ornithinaemia;Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
KMN453	HPRT Deficiency	E79.8	H00196;H00964;H00966	Phosphoribosylpyrophosphate synthetase superactivity;Thiopurine S-methyltransferase deficiency (TPMT deficiency);AICA-ribosiduria
KMN131	Hairy Cell Leukemia	C91.4	H00006	Hairy cell leukemia
KMN448	Hartnup Disease	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
KMN286	Hashimoto's disease	E06.3	H00081	Hashimoto thyroiditis
KMN471	Hawkinsinuria	E70.2	H00165	Tyrosinemia
KMN82	Head and Neck Cancer	C47.0;C49.0;C76.0;C77.0	H02420	Head and neck cancer
KMN14	Helicobacter Pylori Infection	B98.0	NO_DATA	NO_DATA
KMN160	Hemangioblastoma	D33.4;D33.7  	NO_DATA	NO_DATA
KMN41	Hemangiopericytoma	C49;D21.9	H00049;H00052;H00804	Myxoid liposarcoma;Clear cell sarcoma of soft tissue;Multiple cutaneous and uterine leiomyomata
KMN796	Hemarthrosis	M25.0	NO_DATA	NO_DATA
KMN468	Hemochromatosis	E83.11	H00211	Hemochromatosis
KMN217	Hemophilia A	D66	H00219	Hemophilia
KMN218	Hemophilia B	D68	H01254	Congenital prothrombin deficiency
KMN214	Henoch-Schonlein Purpura	D69.0	H01584	IgA vasculitis
