	Name	ICD10	Count	ICD_class	Disease_english
KMN516	Familial_Hypobetalipoproteinemia	NO_DATA	5	E70-E90	Familial Hypobetalipoproteinemia
KMN515	Familial_Hypocalciuric_Hypercalcemia	NO_DATA	3	E70-E90	Familial Hypocalciuric Hypercalcemia
KMN329	Familial_Male-Limited_Precocious_Puberty	NO_DATA	4	E20-E35	Familial Male-Limited Precocious Puberty
KMN158	Familial_Paraganglioma_Syndrome	NO_DATA	2	D37-D48	Familial Paraganglioma Syndrome
KMN696	Familial_Spastic_Paraplegia	NO_DATA	11	G80-G83	Familial Spastic Paraplegia
KMN458	Fanconi-Bickel_Syndrome	NO_DATA	1	E70-E90	Fanconi-Bickel Syndrome
KMN459	Fanconi_Syndrome	NO_DATA	11	E70-E90	Fanconi Syndrome
KMN198	Fanconi_s_Anemia	NO_DATA	15	D60-D64	Fanconi's Anemia
KMN456	Farber_Disease	NO_DATA	2	E70-E90	Farber Disease
KMN8	Fatal_Familial_Insomnia	A81.83	1	A80-A89	Fatal Familial Insomnia
KMN208	Fechtner_syndrome	NO_DATA	16	D65-D69	Fechtner syndrome
KMN814	Fibromyalgia	M79.7	32	M70-M79	Fibromyalgia
KMN828	Focal_and_Segmental_Glomerulosclerosis	NO_DATA	104	N00-N08	Focal and Segmental Glomerulosclerosis
KMN366	Folate_Deficiency	NO_DATA	4	E50-E64	Folate Deficiency
KMN132	Follicular_Lymphoma	C82	26	C81-C96	Follicular Lymphoma
KMN478	Formiminoglutamic_Aciduria	NO_DATA	2	E70-E90	Formiminoglutamic Aciduria
KMN589	Friedreich_s_Ataxia	NO_DATA	2	G10-G13	Friedreich's Ataxia
KMN324	Frohlich_Syndrome	NO_DATA	7	E20-E35	Frohlich Syndrome
KMN611	Frontotemporal_Lobar_Degeneration	NO_DATA	47	G30-G32	Frontotemporal Lobar Degeneration
KMN465	Fructose_1_6-bisphosphate_Aldolase_A_Deficiency	NO_DATA	5	E70-E90	Fructose 1,6-bisphosphate Aldolase A Deficiency
KMN464	Fructose_1_6-diphosphatase_Deficiency	NO_DATA	1	E70-E90	Fructose 1,6-diphosphatase Deficiency
KMN463	Fucosidosis	NO_DATA	1	E70-E90	Fucosidosis
KMN694	Fukuyama_Congenital_Muscular_Dystrophy	NO_DATA	2	G70-G73	Fukuyama Congenital Muscular Dystrophy
KMN185	G6PD_Deficiency	NO_DATA	1	D55-D59	G6PD Deficiency
KMN164	GIST	NO_DATA	4	D37-D48	GIST
KMN381	GM2-ganglioside_activator_deficiency	NO_DATA	1	E70-E90	GM2-ganglioside activator deficiency
KMN306	GRFomas	NO_DATA	2	E15-E16	GRFomas
KMN382	GTP_Cyclohydrolase_I_Deficiency	NO_DATA	3	E70-E90	GTP Cyclohydrolase I Deficiency
KMN413	Galactokinase_Deficiency	NO_DATA	1	E70-E90	Galactokinase Deficiency
KMN402	Galactosemia_with_Uridyl_Transferase_Deficiency	NO_DATA	1	E70-E90	Galactosemia with Uridyl Transferase Deficiency
KMN774	Gallstone	NO_DATA	34	K80-K87	Gallstone
KMN15	Gastric_Cancer	NO_DATA	222	C15-C26	Gastric Cancer
KMN154	Gastrinoma	NO_DATA	7	D37-D48	Gastrinoma
KMN760	Gastroesophageal_regurgitation	NO_DATA	7	K20-K31	Gastroesophageal regurgitation
KMN380	Gaucher_Disease	E75.22	2	E70-E90	Gaucher Disease
KMN624	Generalized_Epilepsy_with_Febrile_Convulsions_Plus	NO_DATA	5	G40-G47	Generalized Epilepsy with Febrile Convulsions Plus
KMN85	Germ_Cell_Tumor	NO_DATA	27	C76-C80	Germ Cell Tumor
KMN84	Germinoma	NO_DATA	7	C76-C80	Germinoma
KMN6	Gerstmann-Straussler-Scheinker_Disease	NO_DATA	1	A80-A89	Gerstmann-Straussler-Scheinker Disease
KMN801	Giant_Cell_Arteritis	NO_DATA	36	M30-M36	Giant Cell Arteritis
KMN434	Gilbert_s_Syndrome	NO_DATA	4	E70-E90	Gilbert's Syndrome
KMN317	Gitelman_Syndrome	NO_DATA	6	E20-E35	Gitelman Syndrome
KMN205	Glanzmann_s_Disease	NO_DATA	5	D65-D69	Glanzmann's Disease
KMN706	Glaucoma	H40	82	H40-H42	Glaucoma
KMN74	Glioblastoma	NO_DATA	32	C69-C72	Glioblastoma
KMN65	Glioma	NO_DATA	181	C69-C72	Glioma
KMN137	Glucagonoma	NO_DATA	10	D10-D36	Glucagonoma
KMN320	Glucocorticoid-Remediable_Aldosteronism	E26.02	6	E20-E35	Glucocorticoid-Remediable Aldosteronism
KMN416	Glucose-Galactose_Malabsorption	NO_DATA	1	E70-E90	Glucose-Galactose Malabsorption
KMN417	Glucose-Transport_Defect	NO_DATA	1	E70-E90	Glucose-Transport Defect
KMN420	Glutaric_Acidemia_Type_I	NO_DATA	4	E70-E90	Glutaric Acidemia Type I
KMN419	Glutaric_Acidemia_Type_II	NO_DATA	6	E70-E90	Glutaric Acidemia Type II
KMN418	Glutathione_synthetase_deficiency	NO_DATA	1	E70-E90	Glutathione synthetase deficiency
KMN521	Glycogen_Storage_Disease_0	NO_DATA	3	E70-E90	Glycogen Storage Disease 0
KMN525	Glycogen_Storage_Disease_I	NO_DATA	8	E70-E90	Glycogen Storage Disease I
KMN530	Glycogen_Storage_Disease_II	NO_DATA	13	E70-E90	Glycogen Storage Disease II
KMN522	Glycogen_Storage_Disease_III	NO_DATA	2	E70-E90	Glycogen Storage Disease III
KMN523	Glycogen_Storage_Disease_IV	NO_DATA	1	E70-E90	Glycogen Storage Disease IV
KMN524	Glycogen_Storage_Disease_IX	NO_DATA	9	E70-E90	Glycogen Storage Disease IX
KMN532	Glycogen_Storage_Disease_V	NO_DATA	6	E70-E90	Glycogen Storage Disease V
KMN526	Glycogen_Storage_Disease_VI	NO_DATA	1	E70-E90	Glycogen Storage Disease VI
KMN531	Glycogen_Storage_Disease_VII	NO_DATA	5	E70-E90	Glycogen Storage Disease VII
KMN527	Glycogen_Storage_Disease_XI	NO_DATA	1	E70-E90	Glycogen Storage Disease XI
KMN161	Goiter	NO_DATA	8	D37-D48	Goiter
KMN858	Gonadal_Dysgenesis	NO_DATA	19	Q50-Q56	Gonadal Dysgenesis
KMN322	Gonadotropin-Independent_Precocious_Puberty	NO_DATA	2	E20-E35	Gonadotropin-Independent Precocious Puberty
KMN148	Gonadotropin-Producing_Pituitary_Adenoma	NO_DATA	5	D10-D36	Gonadotropin-Producing Pituitary Adenoma
KMN337	Gonadotropin-releasing_Hormone_Resistance	NO_DATA	1	E20-E35	Gonadotropin-releasing Hormone Resistance
KMN321	Gonadotropin_Deficiency	NO_DATA	6	E20-E35	Gonadotropin Deficiency
KMN798	Goodpasture_s_Syndrome	NO_DATA	21	M30-M36	Goodpasture's Syndrome
KMN877	Gorlin_Syndrome	NO_DATA	1	Q80-Q89	Gorlin Syndrome
KMN179	Granulosa_Cell_Tumor	NO_DATA	14	D37-D48	Granulosa Cell Tumor
KMN283	Graves__Disease	NO_DATA	30	E00-E07	Graves' Disease
KMN264	Griscelli_Syndrome	NO_DATA	1	D80-D89	Griscelli Syndrome
KMN339	Growth_Hormone_Deficiency	NO_DATA	4	E20-E35	Growth Hormone Deficiency
KMN627	Guillain-Barre_Syndrome	G61.0	18	G50-G59	Guillain-Barre Syndrome
KMN705	Gyrate_Atrophy_of_the_Choroid_and_Retina	NO_DATA	3	H30-H36	Gyrate Atrophy of the Choroid and Retina
KMN453	HPRT_Deficiency	NO_DATA	4	E70-E90	HPRT Deficiency
KMN131	Hairy_Cell_Leukemia	C91.4	112	C81-C96	Hairy Cell Leukemia
KMN448	Hartnup_Disease	NO_DATA	24	E70-E90	Hartnup Disease
KMN286	Hashimoto_s_disease	NO_DATA	4	E00-E07	Hashimoto's disease
KMN471	Hawkinsinuria	NO_DATA	1	E70-E90	Hawkinsinuria
KMN82	Head_and_Neck_Cancer	NO_DATA	43	C76-C80	Head and Neck Cancer
KMN14	Helicobacter_Pylori_Infection	NO_DATA	47	B95-B98	Helicobacter Pylori Infection
KMN160	Hemangioblastoma	NO_DATA	1	D37-D48	Hemangioblastoma
KMN41	Hemangiopericytoma	NO_DATA	4	C45-C49	Hemangiopericytoma
KMN796	Hemarthrosis	M25.0	5	M20-M25	Hemarthrosis
KMN468	Hemochromatosis	E83.11	39	E70-E90	Hemochromatosis
KMN217	Hemophilia_A	NO_DATA	1	D65-D69	Hemophilia A
KMN218	Hemophilia_B	NO_DATA	1	D65-D69	Hemophilia B
KMN214	Henoch-Schonlein_Purpura	NO_DATA	9	D65-D69	Henoch-Schonlein Purpura
KMN767	Hepatic_Coma	NO_DATA	13	K70-K77	Hepatic Coma
KMN768	Hepatic_Encephalopathy	NO_DATA	28	K70-K77	Hepatic Encephalopathy
KMN519	Hepatic_Lipase_Deficiency	NO_DATA	4	E70-E90	Hepatic Lipase Deficiency
KMN815	Hepatic_osteodystrophy	NO_DATA	3	M80-M85	Hepatic osteodystrophy
KMN766	Hepatitis	NO_DATA	149	K70-K77	Hepatitis
KMN17	Hepatoblastoma	C22.2	1	C15-C26	Hepatoblastoma
KMN18	Hepatocellular_Carcinoma	NO_DATA	129	C15-C26	Hepatocellular Carcinoma
KMN520	Hepatoerythropoietic_porphyria	NO_DATA	1	E70-E90	Hepatoerythropoietic porphyria
KMN508	Hereditary_Aceruloplasminemia	NO_DATA	1	E70-E90	Hereditary Aceruloplasminemia
KMN506	Hereditary_Coproporphyria	NO_DATA	4	E70-E90	Hereditary Coproporphyria
KMN189	Hereditary_Elliptocytosis	D58.1	17	D55-D59	Hereditary Elliptocytosis
KMN777	Hereditary_Fructose_Intolerance	E74.12	1	K90-K93	Hereditary Fructose Intolerance
KMN708	Hereditary_Hearing_Impairment	NO_DATA	13	H90-H95	Hereditary Hearing Impairment
KMN741	Hereditary_Hemorrhagic_Telangiectasia	I78.0	7	I70-I79	Hereditary Hemorrhagic Telangiectasia
KMN666	Hereditary_Inclusion_Body_Myopathy	NO_DATA	1	G70-G73	Hereditary Inclusion Body Myopathy
KMN633	Hereditary_Neuropathy_with_Pressure_Palsies	NO_DATA	1	G50-G59	Hereditary Neuropathy with Pressure Palsies
KMN16	Hereditary_Nonpolyposis_Colon_Cancer	NO_DATA	9	C15-C26	Hereditary Nonpolyposis Colon Cancer
KMN190	Hereditary_Pyropoikilocytosis	NO_DATA	7	D55-D59	Hereditary Pyropoikilocytosis
KMN634	Hereditary_Sensory_and_Autonomic_Neuropathy	NO_DATA	3	G50-G59	Hereditary Sensory and Autonomic Neuropathy
KMN187	Hereditary_Spherocytosis	D58.0	12	D55-D59	Hereditary Spherocytosis
KMN188	Hereditary_Stomatocytosis	NO_DATA	4	D55-D59	Hereditary Stomatocytosis
KMN507	Hereditary_Vitamin_D-resistant_Rickets	NO_DATA	3	E70-E90	Hereditary Vitamin D-resistant Rickets
KMN505	Hereditary_Xanthinuria	NO_DATA	9	E70-E90	Hereditary Xanthinuria
KMN605	Hereditary_cortical_cerebellar_atrophy	NO_DATA	1	G30-G32	Hereditary cortical cerebellar atrophy
KMN596	Hereditary_progressive_dystonia	NO_DATA	1	G20-G26	Hereditary progressive dystonia
KMN199	Hereditary_sideroblastic_anemia	D64.0	1	D60-D64	Hereditary sideroblastic anemia
KMN449	Hermansky-Pudlak_Syndrome	E70.331	3	E70-E90	Hermansky-Pudlak Syndrome
KMN192	High_oxygen_affinity_hemoglobin_erythremia	NO_DATA	9	D55-D59	High oxygen affinity hemoglobin erythremia
KMN450	Histidinemia	E70.41	2	E70-E90	Histidinemia
KMN451	Histidinuria	NO_DATA	0	E70-E90	Histidinuria
KMN99	Hodgkin_s_Lymphoma	NO_DATA	49	C81-C96	Hodgkin's Lymphoma
KMN882	Holt-Oram_Syndrome	NO_DATA	2	Q80-Q89	Holt-Oram Syndrome
KMN475	Homocarnosinosis	NO_DATA	0	E70-E90	Homocarnosinosis
KMN476	Homocystinuria	E72.11	10	E70-E90	Homocystinuria
KMN477	Homocystinuria_and_Methylmalonic_Acidemia	NO_DATA	2	E70-E90	Homocystinuria and Methylmalonic Acidemia
KMN10	Human_Immunodeficiency_Virus_Infection	NO_DATA	214	B20-B24	Human Immunodeficiency Virus Infection
KMN588	Huntington_s_Disease	G10	36	G10-G13	Huntington's Disease
KMN846	Hydatidiform_Mole	O01	8	O00-O08	Hydatidiform Mole
KMN452	Hydroxykynureninuria	NO_DATA	2	E70-E90	Hydroxykynureninuria
KMN275	Hyper-IgE_Syndrome	NO_DATA	13	D80-D89	Hyper-IgE Syndrome
KMN536	Hyper_Lp(a)_lipoproteinemia	NO_DATA	4	E70-E90	Hyper Lp(a) lipoproteinemia
KMN538	Hypercystinuria	NO_DATA	0	E70-E90	Hypercystinuria
KMN219	Hyperfibrinogenemia	NO_DATA	3	D65-D69	Hyperfibrinogenemia
KMN334	Hypergonadotropic_Hypogonadal_Ovarian_Failure	NO_DATA	1	E20-E35	Hypergonadotropic Hypogonadal Ovarian Failure
KMN109	Hypergranular_Promyelocytic_Leukemia	NO_DATA	43	C81-C96	Hypergranular Promyelocytic Leukemia
KMN542	Hyperhydroxyprolinemia	NO_DATA	2	E70-E90	Hyperhydroxyprolinemia
KMN670	Hyperkalemic_Periodic_Paralysis	NO_DATA	1	G70-G73	Hyperkalemic Periodic Paralysis
KMN547	Hyperleucine-Isoleucinemia	NO_DATA	6	E70-E90	Hyperleucine-Isoleucinemia
KMN546	Hyperlysinemia	NO_DATA	4	E70-E90	Hyperlysinemia
KMN545	Hypermethioninemia	NO_DATA	3	E70-E90	Hypermethioninemia
KMN537	Hyperornithinemia-Hyperammonemia-Homocitrullinuria	NO_DATA	5	E70-E90	Hyperornithinemia-Hyperammonemia-Homocitrullinuria
KMN869	Hyperostosis_Corticalis_Generalisata	NO_DATA	4	Q65-Q79	Hyperostosis Corticalis Generalisata
KMN540	Hyperoxaluria_Type_I	NO_DATA	2	E70-E90	Hyperoxaluria Type I
KMN539	Hyperoxaluria_Type_II	NO_DATA	2	E70-E90	Hyperoxaluria Type II
KMN544	Hyperprolinemia_Type_I	NO_DATA	3	E70-E90	Hyperprolinemia Type I
KMN543	Hyperprolinemia_Type_II	NO_DATA	3	E70-E90	Hyperprolinemia Type II
KMN752	Hypersensitivity_Pneumonitis	NO_DATA	60	J60-J70	Hypersensitivity Pneumonitis
KMN714	Hypertension_under_acute_psychological_stress	NO_DATA	7	I10-I15	Hypertension under acute psychological stress
KMN739	Hypertrophic_Cardiomyopathy	NO_DATA	68	I30-I52	Hypertrophic Cardiomyopathy
KMN820	Hypertrophic_Osteoarthropathy	NO_DATA	54	M86-M90	Hypertrophic Osteoarthropathy
KMN548	Hyperuricemia	NO_DATA	8	E70-E90	Hyperuricemia
KMN541	Hypervalinemia	NO_DATA	2	E70-E90	Hypervalinemia
KMN693	Hypokalemic_Periodic_Paralysis	NO_DATA	10	G70-G73	Hypokalemic Periodic Paralysis
KMN562	Hypophosphatasia	NO_DATA	4	E70-E90	Hypophosphatasia
KMN581	Hypothalamic_Encephalitis	NO_DATA	6	G00-G09	Hypothalamic Encephalitis
KMN144	Hypothalamic_Gangliocytoma	NO_DATA	4	D10-D36	Hypothalamic Gangliocytoma
KMN886	Hypothalamic_Hamartoma	NO_DATA	4	Q80-Q89	Hypothalamic Hamartoma
KMN563	Hypouricemia	NO_DATA	3	E70-E90	Hypouricemia
KMN250	ICF_Syndrome	NO_DATA	1	D80-D89	ICF Syndrome
KMN755	Idiopathic_Pulmonary_Fibrosis	J84.112	29	J80-J84	Idiopathic Pulmonary Fibrosis
KMN830	Idiopathic_Renal-Limited_Crescentic_Glomerulonephritis	NO_DATA	5	N00-N08	Idiopathic Renal-Limited Crescentic Glomerulonephritis
KMN230	Idiopathic_Thrombocytopenic_Purpura	NO_DATA	25	D65-D69	Idiopathic Thrombocytopenic Purpura
KMN601	Idiopathic_Torsion_Dystonia	NO_DATA	1	G20-G26	Idiopathic Torsion Dystonia
KMN347	Idiopathic_hypoparathyroidism	E20.0	1	E20-E35	Idiopathic hypoparathyroidism
KMN201	Idiopathic_sideroblastic_anemia	NO_DATA	23	D60-D64	Idiopathic sideroblastic anemia
KMN251	IgA_Deficiency	NO_DATA	6	D80-D89	IgA Deficiency
KMN822	IgA_Nephropathy	NO_DATA	47	N00-N08	IgA Nephropathy
KMN252	IgG_Subclass_Deficiency	NO_DATA	4	D80-D89	IgG Subclass Deficiency
KMN399	Iminoglycinuria	NO_DATA	0	E70-E90	Iminoglycinuria
KMN195	Immune_Hemolysis	NO_DATA	5	D55-D59	Immune Hemolysis
KMN129	Immunoblastic_lymphoma	NO_DATA	27	C81-C96	Immunoblastic lymphoma
KMN281	Immunoglobulin-Associated_beta_Deficiency	NO_DATA	1	D80-D89	Immunoglobulin-Associated beta Deficiency
KMN280	Immunoglobulin_Heavy_Chain_Deficiency	NO_DATA	0	D80-D89	Immunoglobulin Heavy Chain Deficiency
KMN130	Immunoproliferative_Small_Intestinal_Disease	C88.3	4	C81-C96	Immunoproliferative Small Intestinal Disease
KMN811	Inclusion_Body_Myositis	NO_DATA	109	M30-M36	Inclusion Body Myositis
KMN1	Inflammatory_Bowel_Disease	NO_DATA	104	A00-A09	Inflammatory Bowel Disease
KMN745	Influenza_Infection	NO_DATA	20	J10-J18	Influenza Infection
KMN135	Insulinoma	NO_DATA	14	D10-D36	Insulinoma
KMN259	Interferon_gamma_Receptor_Deficiency	NO_DATA	2	D80-D89	Interferon gamma Receptor Deficiency
KMN260	Interleukin_12_Deficiency	NO_DATA	2	D80-D89	Interleukin 12 Deficiency
KMN261	Interleukin_12_Receptor_Deficiency	NO_DATA	2	D80-D89	Interleukin 12 Receptor Deficiency
KMN753	Interstitial_Lung_Disease	NO_DATA	5	J80-J84	Interstitial Lung Disease
KMN183	Iron_Deficiency_Anemia	D50	14	D50-D53	Iron Deficiency Anemia
KMN723	Ischemic_Heart_Disease	NO_DATA	38	I20-I25	Ischemic Heart Disease
KMN724	Ischemic_arrhythmia	NO_DATA	39	I20-I25	Ischemic arrhythmia
KMN352	Isolated_Follicle-stimulating_Hormone_Deficiency	NO_DATA	1	E20-E35	Isolated Follicle-stimulating Hormone Deficiency
KMN398	Isovaleric_Acidemia	E71.110	2	E70-E90	Isovaleric Acidemia
KMN325	Jansen_s_Disease	NO_DATA	4	E20-E35	Jansen's Disease
KMN734	Jorvell_and_Lange-Nielsen_Syndrome	NO_DATA	2	I30-I52	Jorvell and Lange-Nielsen Syndrome
KMN715	Juvenile_hypertension	NO_DATA	6	I10-I15	Juvenile hypertension
KMN175	Juxtaglomerular_Cell_Tumor	NO_DATA	3	D37-D48	Juxtaglomerular Cell Tumor
KMN316	Kallmann_Syndrome	NO_DATA	4	E20-E35	Kallmann Syndrome
KMN38	Kaposi_s_Sarcoma	C46	50	C45-C49	Kaposi's Sarcoma
KMN653	Kearns-Sayre_Syndrome	H49.81	7	G70-G73	Kearns-Sayre Syndrome
KMN894	Klinefelter_Syndrome	NO_DATA	14	Q90-Q99	Klinefelter Syndrome
KMN414	Krabbe_s_Disease	NO_DATA	3	E70-E90	Krabbe's Disease
KMN4	Kuru	A81.81	1	A80-A89	Kuru
KMN502	LCAT_Deficiency	NO_DATA	5	E70-E90	LCAT Deficiency
KMN565	Lactate_Dehydrogenase_Deficiency	NO_DATA	6	E70-E90	Lactate Dehydrogenase Deficiency
KMN650	Lambert-Eaton_Myasthenic_Syndrome	NO_DATA	3	G70-G73	Lambert-Eaton Myasthenic Syndrome
KMN326	Laron_Syndrome	NO_DATA	5	E20-E35	Laron Syndrome
KMN152	Leiomyoma	NO_DATA	1	D10-D36	Leiomyoma
KMN305	Leprechaunism	NO_DATA	1	E10-E14	Leprechaunism
KMN370	Leptin_gene_mutation	NO_DATA	1	E65-E68	Leptin gene mutation
KMN371	Leptin_receptor_gene_mutation	NO_DATA	5	E65-E68	Leptin receptor gene mutation
KMN241	Leukocyte_Adhesion_Deficiency_Type_1	NO_DATA	5	D70-D77	Leukocyte Adhesion Deficiency Type 1
KMN242	Leukocyte_Adhesion_Deficiency_Type_2	NO_DATA	9	D70-D77	Leukocyte Adhesion Deficiency Type 2
KMN243	Leukocyte_Adhesion_Deficiency_Type_3	NO_DATA	5	D70-D77	Leukocyte Adhesion Deficiency Type 3
KMN857	Leydig_Cell_Hypoplasia	NO_DATA	1	Q50-Q56	Leydig Cell Hypoplasia
KMN49	Leydig_Cell_Tumor	NO_DATA	1	C51-C58	Leydig Cell Tumor
KMN156	Li-Fraumeni_Syndrome	NO_DATA	2	D37-D48	Li-Fraumeni Syndrome
KMN786	Lichen_Myxedematosus	NO_DATA	4	L80-L99	Lichen Myxedematosus
KMN826	Liddle_Syndrome	NO_DATA	7	N00-N08	Liddle Syndrome
KMN823	Light_Chain_Deposition_Disease	NO_DATA	2	N00-N08	Light Chain Deposition Disease
KMN673	Limb-Girdle_Muscular_Dystrophy_1A	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 1A
KMN674	Limb-Girdle_Muscular_Dystrophy_1B	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 1B
KMN675	Limb-Girdle_Muscular_Dystrophy_1C	NO_DATA	7	G70-G73	Limb-Girdle Muscular Dystrophy 1C
KMN676	Limb-Girdle_Muscular_Dystrophy_1D	NO_DATA	4	G70-G73	Limb-Girdle Muscular Dystrophy 1D
KMN677	Limb-Girdle_Muscular_Dystrophy_1E	NO_DATA	4	G70-G73	Limb-Girdle Muscular Dystrophy 1E
KMN678	Limb-Girdle_Muscular_Dystrophy_2A	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 2A
KMN679	Limb-Girdle_Muscular_Dystrophy_2B	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 2B
KMN680	Limb-Girdle_Muscular_Dystrophy_2C	NO_DATA	7	G70-G73	Limb-Girdle Muscular Dystrophy 2C
KMN681	Limb-Girdle_Muscular_Dystrophy_2D	NO_DATA	6	G70-G73	Limb-Girdle Muscular Dystrophy 2D
KMN682	Limb-Girdle_Muscular_Dystrophy_2E	NO_DATA	6	G70-G73	Limb-Girdle Muscular Dystrophy 2E
KMN683	Limb-Girdle_Muscular_Dystrophy_2F	NO_DATA	6	G70-G73	Limb-Girdle Muscular Dystrophy 2F
KMN684	Limb-Girdle_Muscular_Dystrophy_2G	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 2G
KMN685	Limb-Girdle_Muscular_Dystrophy_2H	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 2H
KMN686	Limb-Girdle_Muscular_Dystrophy_2I	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 2I
KMN687	Limb-Girdle_Muscular_Dystrophy_2J	NO_DATA	5	G70-G73	Limb-Girdle Muscular Dystrophy 2J
KMN585	Limbic_Encephalitis	NO_DATA	6	G00-G09	Limbic Encephalitis
KMN500	Lipoamide_dehydrogenasee_deficieny	NO_DATA	1	E70-E90	Lipoamide dehydrogenasee deficieny
KMN549	Lipodystrophy	NO_DATA	1	E70-E90	Lipodystrophy
KMN143	Lipoma	NO_DATA	1	D10-D36	Lipoma
KMN501	Lipoprotein_Lipase_Deficiency	NO_DATA	11	E70-E90	Lipoprotein Lipase Deficiency
KMN42	Liposarcoma	NO_DATA	4	C45-C49	Liposarcoma
KMN731	Long_QT_Syndrome	I45.81	18	I30-I52	Long QT Syndrome
KMN27	Lung_Adenocarcinoma	NO_DATA	43	C30-C39	Lung Adenocarcinoma
KMN26	Lung_Cancer	NO_DATA	124	C30-C39	Lung Cancer
KMN29	Lung_Cancer_in_Never_Smokers	NO_DATA	14	C30-C39	Lung Cancer in Never Smokers
KMN827	Lupus_Nephritis	NO_DATA	53	N00-N08	Lupus Nephritis
KMN327	Lymphocytic_Hypophysitis	NO_DATA	13	E20-E35	Lymphocytic Hypophysitis
KMN782	Lymphomatoid_Papulosis	NO_DATA	11	L40-L45	Lymphomatoid Papulosis
KMN102	Lymphoplasmacytic_Lymphoma	NO_DATA	4	C81-C96	Lymphoplasmacytic Lymphoma
KMN499	Lysinuria	NO_DATA	0	E70-E90	Lysinuria
KMN88	MALT_Lymphoma	NO_DATA	51	C81-C96	MALT Lymphoma
KMN664	MELAS_Syndrome	E88.41	4	G70-G73	MELAS Syndrome
KMN622	MERRF_Syndrome	E88.42	28	G40-G47	MERRF Syndrome
KMN253	MHC_Class_II_Deficiency	NO_DATA	19	D80-D89	MHC Class II Deficiency
KMN294	MIDD	NO_DATA	2	E10-E14	MIDD
KMN297	MODY_1	NO_DATA	5	E10-E14	MODY 1
KMN298	MODY_2	NO_DATA	5	E10-E14	MODY 2
KMN299	MODY_3	NO_DATA	5	E10-E14	MODY 3
KMN300	MODY_4	NO_DATA	5	E10-E14	MODY 4
KMN301	MODY_5	NO_DATA	5	E10-E14	MODY 5
KMN302	MODY_6	NO_DATA	5	E10-E14	MODY 6
KMN778	Malabsorption_Syndrome	NO_DATA	29	K90-K93	Malabsorption Syndrome
KMN12	Malaria_Infection	NO_DATA	85	B50-B64	Malaria Infection
KMN272	Mannose_Binding_Lectin_Deficiency	NO_DATA	3	D80-D89	Mannose Binding Lectin Deficiency
KMN100	Mantle-cell_Lymphoma	NO_DATA	53	C81-C96	Mantle-cell Lymphoma
KMN494	Maple_Syrup_Urine_Disease	NO_DATA	10	E70-E90	Maple Syrup Urine Disease
KMN883	Marfan_Syndrome	NO_DATA	13	Q80-Q89	Marfan Syndrome
KMN235	May-Hegglin_Anomaly	NO_DATA	16	D70-D77	May-Hegglin Anomaly
KMN856	Mayer-Rokitansky-Kuster-Hauser_Syndrome	NO_DATA	2	Q50-Q56	Mayer-Rokitansky-Kuster-Hauser Syndrome
KMN865	McCune-Albright_Syndrome	NO_DATA	3	Q65-Q79	McCune-Albright Syndrome
KMN66	Medulloblastoma	NO_DATA	24	C69-C72	Medulloblastoma
KMN113	Megakaryoblastic_leukemia	NO_DATA	12	C81-C96	Megakaryoblastic leukemia
KMN182	Megaloblastic_Anemia	NO_DATA	3	D50-D53	Megaloblastic Anemia
KMN369	Melanocortin-4_receptor_gene_mutation	NO_DATA	1	E65-E68	Melanocortin-4 receptor gene mutation
KMN35	Melanoma	NO_DATA	87	C43-C44	Melanoma
KMN834	Membranoproliferative_Glomerulonephritis	NO_DATA	36	N00-N08	Membranoproliferative Glomerulonephritis
KMN833	Membranous_Glomerulopathy	NO_DATA	34	N00-N08	Membranous Glomerulopathy
KMN759	Menetrier_s_Disease	NO_DATA	15	K20-K31	Menetrier's Disease
KMN166	Meningiomas	NO_DATA	4	D37-D48	Meningiomas
KMN825	Mesangioproliferative_Glomerulonephritis	NO_DATA	59	N00-N08	Mesangioproliferative Glomerulonephritis
KMN764	Mesenteric_Venous_Thrombosis	NO_DATA	3	K55-K63	Mesenteric Venous Thrombosis
KMN43	Mesothelioma	C45	137	C45-C49	Mesothelioma
KMN818	Metabolic_Bone_Disease	NO_DATA	6	M80-M85	Metabolic Bone Disease
KMN495	Metabolic_Syndrome	E88.81	280	E70-E90	Metabolic Syndrome
KMN504	Metachromatic_Leukodystrophy	E75.25	2	E70-E90	Metachromatic Leukodystrophy
KMN81	Metastatic_Tumor_of_Bone	NO_DATA	19	C76-C80	Metastatic Tumor of Bone
KMN80	Metastatic_Tumor_of_the_Liver	NO_DATA	5	C76-C80	Metastatic Tumor of the Liver
KMN496	Methionine_Malabsorption	NO_DATA	0	E70-E90	Methionine Malabsorption
KMN497	Methylmalonic_Acidemia	E71.120	11	E70-E90	Methylmalonic Acidemia
KMN850	Microcephaly	Q02	184	Q00-Q07	Microcephaly
KMN804	Microscopic_polyangiitis	M31.7	31	M30-M36	Microscopic polyangiitis
KMN625	Migraine	G43	114	G40-G47	Migraine
